ID,Rank,Rarity_Score,Attributes-Scores,Background-Scores,Clothes-Scores,Earring-Scores,Eyes-Scores,Fur-Scores,Hat-Scores,Mouth-Scores
3241,1975,219.5842300114278,3,7,69,1,13,12,4,106
6236,1976,219.583546654209,5,7,125,11,5,20,39,4
8339,1977,219.5255741909263,5,7,46,45,42,21,43,6
5528,1978,219.5155084914001,3,8,5,1,92,20,83,4
3620,1979,219.5041804802322,1,7,44,12,14,24,4,109
534,1980,219.49651542640348,5,8,46,67,5,21,44,19
7624,1981,219.48277865746914,5,7,42,45,37,12,63,4
8386,1982,219.44332232108712,3,7,5,12,144,21,4,19
8403,1983,219.3475905507739,1,7,49,1,20,7,93,37
448,1984,219.29984028459916,1,7,105,22,45,25,4,6
4608,1985,219.18222324450318,1,7,61,1,11,37,63,33
2381,1986,219.1131108095104,1,7,29,1,28,19,30,99
3436,1987,219.0457414167346,5,8,44,21,42,8,84,4
2553,1988,219.04446973709184,1,8,29,1,20,12,129,14
4378,1989,219.0394173048595,5,8,29,22,28,12,28,82
4276,1990,219.03742707756172,1,8,45,1,37,7,112,4
8974,1991,218.98403901004863,1,7,69,1,18,12,73,33
6737,1992,218.9256536338024,1,8,42,1,28,33,66,36
9627,1993,218.92465215210134,1,8,48,1,37,15,63,41
7294,1994,218.923779331168,1,8,45,1,28,7,112,14
7612,1995,218.90380719002314,39,8,5,1,41,20,4,99
2262,1996,218.87504100082504,1,8,42,1,5,20,54,84
3373,1997,218.85978503140083,1,8,48,1,66,15,26,49
2215,1998,218.84808834192893,1,7,70,22,30,20,4,61
3455,1999,218.79690750381127,3,7,5,1,32,25,28,113
1873,2000,218.79337993338362,3,7,71,1,5,37,4,86
2883,2001,218.77361069619707,3,7,56,1,18,20,4,106
3254,2002,218.67461999721246,1,8,24,1,37,19,26,99
9319,2003,218.66965587842364,1,7,69,1,11,7,112,6
3693,2004,218.66237883312252,1,7,49,1,92,15,43,6
843,2005,218.6419568289551,1,7,24,1,20,25,23,113
1471,2006,218.64012346201554,3,7,5,1,23,7,63,106
1737,2007,218.61585950665963,1,8,43,1,20,15,93,33
9492,2008,218.5977801626127,3,8,5,1,20,8,17,153
1127,2009,218.58250103031807,1,8,42,1,41,15,93,14
7827,2010,218.5351897285984,5,8,53,11,42,7,28,61
9809,2011,218.5324109210914,1,7,44,12,11,8,4,128
6487,2012,218.52215229422825,1,7,97,1,20,8,76,4
2287,2013,218.5008130916071,1,8,44,1,45,20,63,33
8373,2014,218.45431081474888,1,7,43,1,14,64,55,30
162,2015,218.38959181515634,1,8,41,1,11,64,55,33
6797,2016,218.35761989000133,5,8,49,11,30,8,83,22
2619,2017,218.34008946895702,1,8,24,1,32,7,32,109
9992,2018,218.33804357269955,1,7,42,1,5,24,129,4
2610,2019,218.28874797059692,5,8,53,12,13,7,112,6
3829,2020,218.28654039004314,39,8,5,1,30,15,4,113
6376,2021,218.26981410541828,1,7,39,1,28,12,112,14
7704,2022,218.2622290310904,1,7,49,1,14,46,90,6
9100,2023,218.21429566556995,1,7,42,1,32,7,90,33
6630,2024,218.19338287769705,1,8,43,1,11,7,38,106
5857,2025,218.13048234276695,1,7,29,1,66,7,17,86
4636,2026,218.09019636151902,1,8,39,1,5,15,138,6
7966,2027,218.07758067183033,1,7,125,11,28,25,4,14
2552,2028,218.07587601849067,1,7,39,1,32,24,73,36
8698,2029,218.06026305559604,1,7,49,1,28,15,30,82
1198,2030,218.04764290459084,5,8,35,11,92,12,32,19
9458,2031,218.0345127303059,5,8,35,22,5,15,76,48
3218,2032,218.0294795055467,3,7,44,1,13,7,4,135
1263,2033,217.99464888294455,1,7,49,1,23,15,76,41
44,2034,217.90529620971313,5,8,70,22,20,20,63,6
2123,2035,217.87843935506984,1,8,61,1,66,25,30,22
1350,2036,217.87413802525518,1,7,44,1,32,57,66,6
4509,2037,217.83026108921638,1,8,49,1,11,33,28,84
2469,2038,217.82509126741058,1,7,105,1,13,7,66,14
5545,2039,217.67320547140866,1,7,5,45,14,7,129,6
4544,2040,217.6675919230081,3,7,5,1,66,7,84,41
802,2041,217.6586575303976,1,7,44,67,32,20,4,39
5796,2042,217.6486222431635,5,8,78,21,66,7,26,4
9761,2043,217.6423664314176,5,8,44,21,24,64,42,6
7372,2044,217.638450808662,1,8,105,1,28,15,42,14
4058,2045,217.54700895109278,5,7,61,45,18,46,28,4
9893,2046,217.50096377015572,1,8,69,1,5,20,76,33
8105,2047,217.48107151151777,5,7,43,11,11,57,32,48
361,2048,217.47542023272314,1,8,125,1,20,19,26,14
6212,2049,217.4508436584729,1,7,46,1,20,7,32,99
251,2050,217.34766291161293,3,7,44,1,37,7,4,109
6624,2051,217.33831767605184,5,7,61,22,25,24,63,6
1143,2052,217.23586553318128,1,8,61,1,23,7,31,82
2141,2053,217.23338841370332,1,7,125,11,45,7,4,14
1311,2054,217.17670481785837,1,7,49,1,24,24,73,33
4753,2055,217.17393223305316,1,7,78,1,37,19,28,42
4339,2056,217.15689236688496,1,7,97,1,11,15,76,4
7850,2057,217.1157846040642,5,7,53,12,92,8,23,14
9612,2058,217.10930669466205,3,8,5,1,20,46,55,75
8161,2059,217.07853791399992,5,7,49,12,20,19,63,39
6022,2060,217.05854181742166,39,7,5,1,144,7,4,6
8540,2061,217.04536315032806,1,8,44,1,14,37,95,14
1831,2062,217.02661414827412,1,7,56,1,28,57,44,19
2589,2063,217.02526325699657,5,8,95,12,41,8,32,14
2685,2064,217.00602676813213,1,7,65,1,37,7,90,4
