ID,Name,Rank,Rarity_Score,Attributes-Scores,Centered-Scores,Color Palette-Scores,Extra Rotation-Scores,Outlined-Scores,Padding-Scores,Petals-Scores,Segments-Scores,Shape Type-Scores,Shrink-Scores,Use Palette Background-Scores
326,Hash Three Points #326,70,127.6382882455,1,1,15,48,1,17,17,3,1,17,2
423,Hash Three Points #423,71,127.5850527246953,1,1,14,53,1,22,14,2,1,14,1
842,Hash Three Points #842,72,127.36928245500684,1,1,15,48,1,17,17,2,5,16,2
596,Hash Three Points #596,73,127.3246821793841,1,1,16,53,3,14,14,2,5,14,2
186,Hash Three Points #186,74,127.1385198281509,1,1,16,53,1,13,16,3,1,16,1
742,Hash Three Points #742,75,126.90376371569688,1,16,15,39,1,14,13,2,5,16,1
869,Hash Three Points #869,76,126.85181004882502,1,1,7,53,1,22,16,3,1,16,1
759,Hash Three Points #759,77,126.48281749693044,1,1,17,46,1,22,14,2,1,16,2
700,Hash Three Points #700,78,126.41345777580962,1,1,15,53,1,17,16,2,1,14,1
279,Hash Three Points #279,79,125.85436899683678,1,1,15,48,1,22,16,2,1,14,2
131,Hash Three Points #131,80,125.48945928744466,1,1,17,53,1,15,16,2,1,13,1
694,Hash Three Points #694,81,125.29381340108912,1,16,17,46,3,1,16,3,1,15,2
329,Hash Three Points #329,82,125.23025426376283,1,1,15,53,1,15,16,3,1,13,2
453,Hash Three Points #453,83,125.14655464567208,1,1,17,46,1,17,14,2,5,17,1
395,Hash Three Points #395,84,125.13612851729894,1,1,7,53,3,14,16,3,5,16,1
873,Hash Three Points #873,85,125.03047180086368,1,1,7,53,3,15,16,3,5,15,1
601,Hash Three Points #601,86,124.81555890058856,1,1,17,53,1,1,20,3,1,20,2
18,Hash Three Points #18,87,124.6121349107102,1,1,16,48,3,15,16,2,1,16,1
636,Hash Three Points #636,88,123.8507087985315,1,1,15,48,1,13,20,2,1,17,2
840,Hash Three Points #840,89,123.56968296833338,1,1,16,48,1,14,16,2,5,15,1
738,Hash Three Points #738,90,123.09124421167397,1,1,15,48,3,14,16,2,5,13,2
853,Hash Three Points #853,91,123.0873203474967,1,1,17,42,1,14,20,2,5,16,2
308,Hash Three Points #308,92,122.97391485322943,1,1,17,33,1,22,20,3,1,18,2
805,Hash Three Points #805,93,122.16600186118733,1,16,14,33,1,17,16,2,5,14,1
442,Hash Three Points #442,94,121.95595350518539,1,1,15,48,1,14,17,2,5,13,1
397,Hash Three Points #397,95,121.4892025673761,1,1,17,53,1,1,20,3,1,17,2
1005,Hash Three Points #1005,96,121.45331977046087,1,16,18,22,3,15,16,3,5,16,1
226,Hash Three Points #226,97,121.3190672753799,1,1,15,42,3,17,16,2,5,15,2
427,Hash Three Points #427,98,121.16373163690936,1,16,17,22,3,22,16,2,1,16,2
927,Hash Three Points #927,99,120.9970662518908,1,1,16,42,3,17,16,2,5,13,2
338,Hash Three Points #338,100,120.92339232862136,1,1,7,53,1,17,16,2,5,13,2
