ID,Name,Rank,Rarity_Score,Attributes-Scores,Centered-Scores,Color Palette-Scores,Extra Rotation-Scores,Outlined-Scores,Padding-Scores,Petals-Scores,Segments-Scores,Shape Type-Scores,Shrink-Scores,Use Palette Background-Scores,X Movement-Scores,Y Movement-Scores
675,Hash Three Points #675,892,237.04298859431253,1,1,15,17,3,17,17,2,1,16,1,73,68
786,Hash Three Points #786,893,236.9418280980202,1,1,7,24,1,1,14,3,1,14,2,85,78
75,Hash Three Points #75,894,236.1858452605517,1,1,16,26,1,1,16,2,1,14,2,78,73
73,Hash Three Points #73,895,235.93153883561,1,1,15,31,3,1,14,3,1,13,1,78,68
844,Hash Three Points #844,896,235.30423475589453,1,1,15,24,1,17,14,2,5,18,1,68,64
230,Hash Three Points #230,897,235.2640830699632,1,1,16,24,1,13,14,3,1,18,1,68,68
538,Hash Three Points #538,898,235.23739297496883,1,1,17,24,1,1,14,3,1,18,2,68,78
530,Hash Three Points #530,899,235.00352641592104,1,1,14,17,3,15,14,3,1,15,2,102,42
140,Hash Three Points #140,900,234.80146021885264,1,1,15,20,1,13,16,3,1,17,2,73,68
169,Hash Three Points #169,901,234.5515070925424,1,1,17,22,1,1,16,3,1,16,2,85,64
112,Hash Three Points #112,902,233.57461285725964,1,1,15,30,1,17,13,3,1,17,2,60,68
61,Hash Three Points #61,903,233.46599384537126,1,1,14,20,1,1,16,3,1,16,2,68,85
724,Hash Three Points #724,904,233.03740802022136,1,1,15,31,1,1,14,2,1,16,2,102,42
500,Hash Three Points #500,905,232.29107555045297,1,1,14,31,1,1,16,3,1,13,2,51,93
437,Hash Three Points #437,906,232.03342003404282,1,1,7,20,3,15,16,3,1,13,1,85,60
429,Hash Three Points #429,907,231.99863627623517,1,1,7,48,1,14,20,3,5,14,1,44,68
520,Hash Three Points #520,908,231.85052022150427,1,1,17,20,1,1,16,2,1,13,2,85,68
540,Hash Three Points #540,909,231.78544814850494,1,1,15,21,1,22,14,3,1,15,2,68,64
348,Hash Three Points #348,910,229.89486501461155,1,1,17,30,1,17,16,2,1,14,1,68,56
572,Hash Three Points #572,911,229.8773098578843,1,1,7,26,3,17,13,2,5,17,1,73,60
564,Hash Three Points #564,912,228.91163802314702,1,1,16,20,3,1,16,2,1,16,2,44,102
345,Hash Three Points #345,913,228.65260595807678,1,1,15,24,1,15,17,3,1,16,1,60,68
836,Hash Three Points #836,914,228.2720249133403,1,1,14,46,3,1,14,2,1,17,1,44,78
508,Hash Three Points #508,915,228.2296348481507,1,1,15,24,3,13,16,3,1,20,2,68,56
327,Hash Three Points #327,916,227.56318129018416,1,1,15,19,1,17,16,2,1,17,2,68,64
926,Hash Three Points #926,917,227.48162974941508,1,1,15,53,1,1,16,2,1,15,1,102,12
14,Hash Three Points #14,918,227.30934384954404,1,1,15,20,3,1,14,3,1,16,1,73,73
298,Hash Three Points #298,919,227.2430011635731,1,1,7,26,3,14,16,2,5,17,1,56,73
259,Hash Three Points #259,920,226.30682907288426,1,1,17,30,3,22,17,3,1,16,1,68,42
868,Hash Three Points #868,921,226.08708541259554,1,1,14,19,1,14,14,2,5,17,1,60,73
450,Hash Three Points #450,922,224.87842476078166,1,1,14,24,1,1,14,3,1,17,2,68,73
386,Hash Three Points #386,923,223.51496953048812,1,1,7,31,1,15,13,3,1,17,1,113,12
531,Hash Three Points #531,924,222.62360912317013,1,1,14,26,3,1,16,2,1,17,2,51,85
823,Hash Three Points #823,925,222.46630619235265,1,1,17,24,1,1,16,3,1,15,1,56,78
919,Hash Three Points #919,926,221.96402102456904,1,1,15,21,1,15,14,3,5,15,2,56,68
862,Hash Three Points #862,927,221.75536748525445,1,1,16,24,3,15,16,3,5,16,1,51,64
143,Hash Three Points #143,928,220.82719345350185,1,1,17,22,1,14,17,3,5,17,1,44,73
439,Hash Three Points #439,929,220.78207076567577,1,1,7,30,1,1,17,2,1,17,1,73,64
705,Hash Three Points #705,930,219.88702000988883,1,1,7,19,3,1,16,3,1,15,1,73,73
841,Hash Three Points #841,931,219.87590540818132,1,1,17,17,1,1,16,3,1,15,1,73,68
686,Hash Three Points #686,932,219.83959090604,1,1,17,53,3,15,17,2,5,13,1,44,42
222,Hash Three Points #222,933,218.11097658941674,1,1,7,26,1,1,14,2,1,13,1,102,42
857,Hash Three Points #857,934,217.93480715766424,1,1,16,24,3,1,16,2,1,18,1,60,68
593,Hash Three Points #593,935,216.97214756516385,1,1,17,17,1,1,17,3,1,17,1,78,56
625,Hash Three Points #625,936,216.45459485932813,1,1,16,26,1,14,16,3,5,17,2,68,42
834,Hash Three Points #834,937,216.21326777294456,1,1,14,26,1,1,17,2,1,17,1,73,56
372,Hash Three Points #372,938,215.39217556163248,1,1,15,17,3,14,14,2,5,16,2,44,78
703,Hash Three Points #703,939,214.75865046385042,1,1,7,24,1,1,16,3,1,20,1,68,64
642,Hash Three Points #642,940,209.66516176326277,1,1,15,24,3,1,16,3,1,13,1,68,56
431,Hash Three Points #431,941,208.97932961832748,1,1,7,26,1,1,16,3,1,13,1,68,64
603,Hash Three Points #603,942,208.2307806002729,1,1,18,17,3,17,14,3,1,20,1,13,93
