ID,Name,Rank,Rarity_Score,Accessory-Scores,Attributes-Scores,Background-Scores,Clothes-Scores,Eyes-Scores,Head-Scores,Legendary-Scores,Mouth-Scores,Skin-Scores,Tattoo-Scores
1072,SadPython #1072,81,186.8002008308567,70,2,5,22,8,35,,34,8,
2065,SadPython #2065,82,186.60019383601474,28,28,4,18,13,41,,17,8,26
2347,SadPython #2347,83,186.32049941716127,30,2,5,83,9,32,,13,8,
806,SadPython #806,84,186.22257189421225,102,2,5,31,19,,,12,12,
934,SadPython #934,85,185.91250597228859,27,2,4,65,8,35,,34,8,
1926,SadPython #1926,86,185.86622027746753,76,2,5,27,9,,,16,8,38
1306,SadPython #1306,87,185.84781618340276,27,2,5,83,9,30,,19,7,
815,SadPython #815,88,185.75695305921087,51,2,5,12,8,76,,20,8,
3023,SadPython #3023,89,185.34038921390223,45,2,5,18,11,76,,17,8,
555,SadPython #555,90,185.2088412189038,30,2,4,18,13,91,,14,8,
2486,SadPython #2486,91,185.14650438234534,27,2,5,83,9,35,,13,8,
2437,SadPython #2437,92,184.47499290072528,83,2,5,32,8,26,,17,8,
180,SadPython #180,93,184.3357168152582,36,2,5,65,12,36,,12,12,
3236,SadPython #3236,94,184.30187916460892,41,2,4,65,9,35,,16,9,
1059,SadPython #1059,95,184.11545799627046,114,2,5,22,12,,,17,8,
3088,SadPython #3088,96,183.87644340858031,27,2,5,83,9,27,,19,8,
2376,SadPython #2376,97,183.76163388357418,30,2,5,83,8,27,,16,9,
2621,SadPython #2621,98,183.4327321019941,28,2,5,54,11,57,,16,8,
1808,SadPython #1808,99,183.07108977978544,20,28,4,45,9,21,,17,7,26
1460,SadPython #1460,100,183.02699173772166,57,2,5,15,9,65,,15,12,
1557,SadPython #1557,101,181.38359664288527,27,28,5,32,13,20,,17,9,26
2752,SadPython #2752,102,181.13870961279505,65,2,5,19,8,57,,13,8,
1140,SadPython #1140,103,181.04038473798292,28,2,4,21,8,91,,13,9,
2092,SadPython #2092,104,180.9906176948497,20,28,4,15,8,35,,34,7,26
2115,SadPython #2115,105,180.44276898417152,83,2,5,27,9,20,,20,9,
2419,SadPython #2419,106,180.20796524081132,48,2,4,51,13,30,,15,14,
3094,SadPython #3094,107,180.14081780844742,45,2,5,65,9,27,,13,9,
1150,SadPython #1150,108,179.68664899737513,57,2,5,83,9,,,12,8,
363,SadPython #363,109,179.65312047874784,114,2,5,21,9,,,17,8,
592,SadPython #592,110,179.46728483381025,114,2,5,22,9,,,17,8,
84,SadPython #84,111,179.3346493952272,36,2,4,24,9,57,,34,10,
2049,SadPython #2049,112,178.84260748099223,20,28,4,22,10,32,,20,10,26
1170,SadPython #1170,113,178.80039700832128,83,2,4,54,9,,,14,9,
216,SadPython #216,114,178.65233816372262,102,2,5,14,8,26,,12,7,
2598,SadPython #2598,115,178.29859482816374,28,28,5,22,9,20,,16,7,38
18,SadPython #18,116,178.21935773866645,27,2,5,21,8,91,,11,9,
1754,SadPython #1754,117,177.93784350292066,29,2,4,14,9,76,,34,7,
509,SadPython #509,118,177.25198760879633,45,2,5,51,9,41,,11,9,
1560,SadPython #1560,119,177.2493956658724,30,2,5,76,13,20,,15,12,
2522,SadPython #2522,120,176.96237736400096,,2,5,21,8,91,,11,9,26
2552,SadPython #2552,121,176.8224866971643,114,2,5,19,9,,,17,7,
44,SadPython #44,122,176.79926732195625,43,2,4,21,9,51,,34,8,
267,SadPython #267,123,176.71981856815952,27,2,5,76,11,26,,17,10,
2489,SadPython #2489,124,176.45398147059075,70,2,4,11,9,57,,13,7,
3386,SadPython #3386,125,176.22116003491195,70,2,5,12,16,35,,20,12,
2421,SadPython #2421,126,175.7478260869565,65,2,4,45,11,21,,11,12,
811,SadPython #811,127,175.00040600397952,83,2,5,13,10,30,,16,12,
1602,SadPython #1602,128,174.9660000794607,27,2,4,18,8,91,,13,8,
771,SadPython #771,129,174.68017943576635,76,2,4,18,8,,,16,9,38
3404,SadPython #3404,130,174.50231522982048,28,2,4,65,11,20,,31,8,
2227,SadPython #2227,131,174.32839243065024,70,2,5,32,11,30,,12,8,
1526,SadPython #1526,132,174.13703350999242,36,2,5,76,8,22,,13,8,
439,SadPython #439,133,174.1037471395881,57,2,5,22,9,51,,17,8,
3324,SadPython #3324,134,173.89770894966188,57,2,5,54,9,22,,14,8,
1432,SadPython #1432,135,173.79036377488373,65,2,5,32,8,36,,12,9,
1397,SadPython #1397,136,173.7310513652132,41,2,5,65,9,27,,13,8,
1507,SadPython #1507,137,173.56213202658498,57,2,5,22,8,57,,11,8,
326,SadPython #326,138,173.39005004427426,27,2,4,31,9,76,,13,8,
2566,SadPython #2566,139,173.37923226924744,65,2,4,12,10,51,,11,14,
614,SadPython #614,140,171.65735494909677,,2,5,11,8,114,,20,8,
1056,SadPython #1056,141,171.22078475512913,57,2,5,15,9,57,,16,8,
1430,SadPython #1430,142,170.61388856983822,76,2,5,19,8,32,,12,12,
824,SadPython #824,143,170.30600118675156,,2,4,14,12,76,,11,9,38
3263,SadPython #3263,144,169.86690097200642,45,2,4,31,16,,,19,10,38
2840,SadPython #2840,145,169.61922686001594,27,2,4,24,9,76,,12,12,
2844,SadPython #2844,146,169.57461500364042,102,2,5,27,9,,,14,8,
196,SadPython #196,147,169.52303845928571,41,2,5,22,9,57,,20,8,
85,SadPython #85,148,168.3682978654011,76,2,5,24,9,20,,17,12,
2490,SadPython #2490,149,168.0575212531161,83,2,4,13,10,27,,13,12,
910,SadPython #910,150,168.02901833497913,,2,5,11,12,114,,13,8,
1289,SadPython #1289,151,167.55649104202715,45,2,5,22,12,51,,17,10,
156,SadPython #156,152,167.41722661745715,43,2,5,11,10,65,,16,12,
253,SadPython #253,153,166.04389002302045,41,2,5,22,11,57,,14,10,
1550,SadPython #1550,154,165.9994373960529,,2,4,31,13,51,,16,7,38
1565,SadPython #1565,155,165.17131739228515,114,2,4,14,8,,,11,9,
1163,SadPython #1163,156,165.05831125396344,43,2,4,83,8,,,14,8,
2491,SadPython #2491,157,164.7830819638028,20,2,4,48,9,57,,13,7,
2305,SadPython #2305,158,164.5821434655254,70,2,4,22,11,,,16,9,26
409,SadPython #409,159,163.89211778614745,70,2,5,15,13,35,,13,7,
2908,SadPython #2908,160,163.80330458903697,57,2,4,18,8,30,,34,8,
2333,SadPython #2333,161,163.75764257481651,20,2,5,22,16,76,,11,7,
2955,SadPython #2955,162,163.44608526116238,70,2,4,18,16,29,,14,7,
3424,SadPython #3424,163,162.90960942043031,41,2,4,76,11,,,13,12,
336,SadPython #336,164,162.55587274373514,36,2,4,18,8,51,,31,8,
1043,SadPython #1043,165,162.31128762541806,70,2,4,21,8,26,,14,14,
1685,SadPython #1685,166,162.09751779042875,28,2,5,83,12,,,17,12,
1738,SadPython #1738,167,162.0329270851849,27,2,5,27,8,65,,17,8,
1071,SadPython #1071,168,161.79042507626016,65,2,5,24,16,21,,13,12,
2015,SadPython #2015,169,161.4377724228155,51,2,5,27,16,,,19,12,26
1652,SadPython #1652,170,161.16790588059945,65,2,4,14,9,35,,16,12,
2198,SadPython #2198,171,160.9725665638709,70,2,4,51,9,,,14,8,
79,SadPython #79,172,160.58794967304786,83,2,4,12,8,27,,11,9,
2822,SadPython #2822,173,159.99088477791437,70,2,5,15,19,20,,17,8,
2617,SadPython #2617,174,159.98165767144602,65,2,5,24,9,27,,12,12,
48,SadPython #48,175,159.92555636840675,36,2,5,15,13,57,,20,8,
1486,SadPython #1486,176,159.8890374617886,57,2,4,12,9,27,,31,14,
2492,SadPython #2492,177,159.65577185274958,57,2,4,22,8,32,,17,14,
1899,SadPython #1899,178,159.08015871397296,57,2,4,14,8,27,,31,12,
518,SadPython #518,179,159.0668758636645,65,2,5,45,16,,,13,9,
1986,SadPython #1986,180,158.99777053241291,27,2,4,51,19,29,,13,10,
251,SadPython #251,181,158.7196350560195,45,2,5,45,8,21,,20,7,
594,SadPython #594,182,158.60166824833013,28,2,5,22,11,65,,13,8,
2716,SadPython #2716,183,158.38802827607174,,2,4,83,8,35,,16,7,
2195,SadPython #2195,184,158.2689266472938,70,2,5,14,9,35,,12,8,
111,SadPython #111,185,158.11277039202557,41,2,5,12,12,57,,16,9,
696,SadPython #696,186,157.65414616439463,65,2,4,18,19,20,,16,8,
629,SadPython #629,187,157.527206068826,,2,4,76,11,35,,17,9,
1134,SadPython #1134,188,157.5029672567435,41,2,5,18,8,57,,13,9,
2117,SadPython #2117,189,157.4721640652066,,2,4,32,12,76,,16,12,
2642,SadPython #2642,190,157.06406243681357,,2,4,31,16,41,,14,8,38
3403,SadPython #3403,191,156.68187011168416,27,2,5,22,19,57,,13,7,
2806,SadPython #2806,192,156.05613665704425,43,2,5,24,9,51,,11,8,
2638,SadPython #2638,193,155.78315076228122,27,2,5,27,8,57,,17,10,
1542,SadPython #1542,194,155.70350964713677,41,2,4,48,8,26,,15,8,
2636,SadPython #2636,195,155.47994132988583,28,2,5,45,13,32,,17,9,
2392,SadPython #2392,196,155.42711642443024,57,2,5,11,9,51,,11,7,
2366,SadPython #2366,197,155.33270750988143,61,2,4,27,11,,,13,7,26
586,SadPython #586,198,155.052176279018,41,2,5,13,9,57,,12,12,
2543,SadPython #2543,199,154.97036774511338,61,2,4,51,8,,,19,7,
338,SadPython #338,200,154.78783958302532,76,2,4,11,8,27,,13,9,
681,SadPython #681,201,154.37807444271974,70,2,5,12,9,27,,17,8,
1935,SadPython #1935,202,154.33615858593257,57,2,5,32,10,21,,11,12,
32,SadPython #32,203,154.33419274355575,61,2,5,21,10,27,,16,8,
86,SadPython #86,204,154.3289210789211,102,2,4,14,11,,,11,8,
778,SadPython #778,205,154.11777236732325,51,2,4,24,12,30,,13,14,
1314,SadPython #1314,206,153.89488209159262,28,2,5,83,8,,,17,8,
3361,SadPython #3361,207,153.64856771518131,48,2,5,31,8,35,,12,9,
2837,SadPython #2837,208,153.58267853855082,57,2,5,11,16,35,,17,8,
1317,SadPython #1317,209,153.47017858493126,41,2,4,27,16,35,,12,12,
2135,SadPython #2135,210,153.3024689440994,28,2,5,54,8,30,,11,12,
2387,SadPython #2387,211,153.15837129368074,45,2,5,13,12,51,,12,9,
3063,SadPython #3063,212,153.06713737838157,29,2,5,32,11,41,,17,12,
270,SadPython #270,213,152.65872561667615,70,2,4,15,9,21,,16,12,
2818,SadPython #2818,214,152.49002762225416,,2,5,83,13,22,,16,8,
2192,SadPython #2192,215,152.3460133058343,,2,4,27,10,65,,31,9,
831,SadPython #831,216,152.27635442360844,61,2,5,45,12,,,16,7,
1434,SadPython #1434,217,151.77270177754693,48,2,5,19,8,41,,12,12,
2589,SadPython #2589,218,151.76366022747894,57,2,5,22,11,27,,15,9,
1930,SadPython #1930,219,151.68488885256622,27,2,4,48,12,32,,15,8,
1805,SadPython #1805,220,151.66845567476003,,2,5,54,9,51,,20,8,
1953,SadPython #1953,221,151.62460128230816,30,2,5,45,19,26,,11,9,
1981,SadPython #1981,222,151.44825665875388,70,2,5,15,9,26,,12,9,
1881,SadPython #1881,223,151.34922801335162,28,2,5,51,16,20,,17,9,
3438,SadPython #3438,224,151.17332238366845,28,2,5,48,11,30,,13,10,
1272,SadPython #1272,225,150.23276714734936,102,2,5,11,8,,,11,9,
2516,SadPython #2516,226,150.1586296011201,65,2,4,11,11,27,,19,7,
1845,SadPython #1845,227,149.71001224739743,27,2,4,45,16,32,,12,7,
924,SadPython #924,228,149.59120379703498,45,2,5,32,9,29,,13,9,
2783,SadPython #2783,229,149.5791699604743,,2,5,83,9,21,,13,12,
2771,SadPython #2771,230,149.227049862018,41,2,5,31,9,27,,19,10,
2019,SadPython #2019,231,148.72552550618136,27,2,5,27,8,51,,14,12,
1456,SadPython #1456,232,148.63032597669158,61,2,5,15,10,30,,13,9,
127,SadPython #127,233,148.44799548277808,45,2,4,22,16,27,,15,12,
3068,SadPython #3068,234,148.27853938669523,41,2,4,11,8,51,,17,12,
689,SadPython #689,235,148.19296118641086,45,2,5,19,9,35,,17,12,
3180,SadPython #3180,236,147.23093132573425,,2,5,19,10,26,,31,12,38
1712,SadPython #1712,237,147.15261077595173,51,2,5,27,9,27,,15,8,
1880,SadPython #1880,238,147.05503692920203,30,2,5,48,9,29,,12,8,
2712,SadPython #2712,239,146.72522240032058,45,2,5,32,8,30,,11,9,
502,SadPython #502,240,146.5929652408113,27,2,5,48,9,32,,13,8,
3041,SadPython #3041,241,146.41292348955392,41,2,4,32,9,27,,17,10,
1916,SadPython #1916,242,146.1122233201581,28,2,5,13,9,57,,20,8,
682,SadPython #682,243,146.07401185770752,,2,4,22,16,57,,34,7,
2201,SadPython #2201,244,145.6311359063472,,2,5,51,8,51,,12,14,
1031,SadPython #1031,245,145.55742344695028,57,2,5,13,12,29,,15,9,
1937,SadPython #1937,246,145.4505928853755,27,2,4,18,8,51,,20,12,
913,SadPython #913,247,145.39345002823265,20,2,4,22,9,65,,11,8,
1842,SadPython #1842,248,145.00786368094148,43,2,4,24,8,36,,17,8,
2368,SadPython #2368,249,144.85328519306782,36,2,4,21,8,35,,20,14,
795,SadPython #795,250,144.83857328987267,43,2,5,32,10,20,,16,12,
3254,SadPython #3254,251,144.8061866215976,,2,4,54,9,51,,11,12,
739,SadPython #739,252,144.4213271602677,70,2,4,11,9,20,,17,7,
263,SadPython #263,253,144.3390997376793,51,2,5,12,8,22,,34,7,
1703,SadPython #1703,254,144.3337527148798,28,2,4,48,11,27,,12,8,
1040,SadPython #1040,255,143.9844865451424,36,2,5,21,16,32,,14,14,
776,SadPython #776,256,143.86908557939503,,2,5,12,11,51,,12,9,38
308,SadPython #308,257,143.69831343971597,61,2,5,13,9,27,,14,9,
2539,SadPython #2539,258,143.67673932514262,36,2,4,22,9,27,,31,8,
1731,SadPython #1731,259,143.54196800802697,27,2,5,11,13,57,,17,9,
361,SadPython #361,260,143.49999105272082,61,2,5,14,12,21,,16,9,
1329,SadPython #1329,261,143.1005957086392,36,2,5,65,8,,,17,7,
2533,SadPython #2533,262,142.97669359909213,20,2,4,18,16,51,,16,12,
3343,SadPython #3343,263,142.8086195065846,36,2,5,15,12,30,,31,8,
359,SadPython #359,264,142.77134809598027,57,2,4,15,9,32,,12,8,
3049,SadPython #3049,265,142.35955427326692,61,2,4,11,9,27,,16,9,
457,SadPython #457,266,142.15800905084026,27,2,5,54,9,,,31,12,
2045,SadPython #2045,267,141.9490640473645,27,2,4,24,8,35,,31,8,
711,SadPython #711,268,141.92061537263436,45,2,5,18,13,27,,15,12,
2478,SadPython #2478,269,141.79395057665047,36,2,5,11,19,,,13,14,38
923,SadPython #923,270,141.73560837221032,45,2,5,45,16,,,17,8,
