ID,Name,Rank,Rarity_Score,Animal,Attributes,Beard,Boots,Hat,Jacket,Pants,Profession,Sword,IPFS_URI,Artifact_URI,Display_URI,Thumbnail URI
115,SILVER FOUL | TEZOS PIRATE 115/666,90,53.5612678155,Common Animal,8,Uncommon Beard,Rare Boots,Common Hat,Rare Jacket,Epic Pants,Quartermaster,Uncommon Sword,ipfs://QmQuQotys5fzH3vBoHdjzuYAstzb3ju5BxzxnjmKgauDSy,ipfs://QmdFfBoW6EqFedzsyxyUtGdiYctMzc6k1HfJMYiU1p3zWS,ipfs://QmYoeVDAWtezWN1dapdbTAbVRe6zgGhNHa4j9EXcaXmDTp,ipfs://QmeW2wcB5MbriWythipzFdyDDTfzC1eFW1XySxS6ESMEAV
542,RADLEY KRAKEN | TEZOS PIRATE 542/666,91,53.3078577598,Epic Animal,8,Rare Beard,Common Boots,Common Hat,Rare Jacket,Uncommon Pants,Quartermaster,Common Sword,ipfs://QmRnxgTc7FuBRgeYq9frotm5xoxMSVMvg9M7LRw7jTyYXy,ipfs://QmYhviqMBtE8oSsQNb46BsycC9hnZ1ZPLJ7nP7mQpAu6s3,ipfs://QmPQVqV83Y4pNNzJLgEdneJmSnt5KtGFNxiZdr8AkPN3rJ,ipfs://QmYUia9d2c9sxBFkLP3TM67RMuCHyrBRAaZzvJSWEvuPSj
249,DEVIL BUCKLEY | TEZOS PIRATE 249/666,92,53.1765095776,Epic Animal,8,Common Beard,Uncommon Boots,Rare Hat,Rare Jacket,Common Pants,Quartermaster,Common Sword,ipfs://QmTUgbRJhgrZe4Snr3S8SxuRgdCsyAP1SxHYDEMdgQjAjJ,ipfs://Qmf6eAXuAfHoXfsySU2sSQnPa22MeYeb2QeDvGWfv67zvS,ipfs://QmWwdLEYfQ6dujn21EogxygPE1xB4VdZ2YuTwm2bMLbY7X,ipfs://QmfZuoNSsWeW5PmtVTXiQ3iWga65cXbJ1DGFsMGTdpiPyk
47,MORGAN FISKE | TEZOS PIRATE 47/666,93,53.1182561564,Uncommon Animal,8,Epic Beard,Uncommon Boots,Common Hat,Rare Jacket,Common Pants,Quartermaster,Uncommon Sword,ipfs://QmYiM1hc7NaEpF4z56BS6stjvzvqa8UrWuvorAFagiRwxM,ipfs://QmQ4Let9fXkbJWDSQa4WvnrzNhpANk1penqwVnsWbiygtJ,ipfs://QmNxj4w3NgF2zETV5CytPsMt7NebmmLz8Qdq6T7Sxby5Sk,ipfs://QmYt9aX2fukkBz9gRK5FWjiMATV1Qe2JDD86UM6EpPDuye
454,MALVO DARKSKULL | TEZOS PIRATE 454/666,94,52.972703056,Uncommon Animal,8,Uncommon Beard,Rare Boots,Epic Hat,Uncommon Jacket,Rare Pants,Quartermaster,Uncommon Sword,ipfs://QmNYUmi3kmDmMfsLuKiQDixARxSL15UNTV8mB86By8kqHW,ipfs://QmUohGde8Vp9Pe3LWPce8uTXMjjecbGZsxwaYD1LdZ8ebD,ipfs://QmejmLA6qTriZF4KUh9dJmeEuWVGSXqxQXdGfuaBgEwXHM,ipfs://QmQQc2Vyt8g4dqHVJtEkd3WZTtNkvLtHAntuzP1Z7BP416
322,SWAB THE RASCAL | TEZOS PIRATE 322/666,95,52.7632689211,Epic Animal,8,Uncommon Beard,Rare Boots,Rare Hat,Common Jacket,Uncommon Pants,Quartermaster,Common Sword,ipfs://QmQFdVT3Na2rHAsUPcjtndHNuY64ekLqHWoPP6BJisfXSs,ipfs://QmXVqZHpd1aFjBuo4VB8Dkh9EN7TjEUHzNbdUYZyzV86y2,ipfs://Qmf5LvgGWdiuTmdmQXU2M8HEkXFqZTmUzLopWMUFK7xX2f,ipfs://QmTR7PdnxpJisBqyNa95JfrPCQfDxUi4Y2Bxr9q6KjuLbC
55,WALLACE FLEMING | TEZOS PIRATE 55/666,96,52.325475668,Common Animal,8,Rare Beard,Uncommon Boots,Rare Hat,Epic Jacket,Common Pants,Quartermaster,Common Sword,ipfs://QmVeZpavA3RZqLBh47b6wnQJmriyui7CJuKcbBt8L8mvU8,ipfs://QmZEtV1j3yf2DZ3BdhhwjpZz6fuqLN8sPktkZU3zGVRR5T,ipfs://QmXrRzqhxJvZYPr1FGqdTpo9CxNGWTbAb7t6yMEZ1sAcJe,ipfs://QmWFp3YWDbMfZS1o3weT195opNcRtHTdcu4ZH123pxp2Y9
225,CLIVE DAWG | TEZOS PIRATE 225/666,97,52.2495085212,Uncommon Animal,8,Uncommon Beard,Rare Boots,Common Hat,Epic Jacket,Rare Pants,Quartermaster,Uncommon Sword,ipfs://QmbeUzecm4doxPhn9YKbSDkXPpnCt6cZepjjcrd7CprMcg,ipfs://QmNMNod2bqXpokcosLj5dSGiWBH2MUxVtoXMcZMPRRpQUt,ipfs://QmW2joCRqWdfMSwNjKFLtnGnT3FVyzs1tKywifNobUU1nt,ipfs://QmPXfMybND9KdjLNLb5A8FuygkC22TmMAdx2mQYnRSzKuG
400,GRUBBY FOUL | TEZOS PIRATE 400/666,98,52.1812453918,Rare Animal,8,Epic Beard,Common Boots,Common Hat,Rare Jacket,Common Pants,Navigator,Common Sword,ipfs://QmTBY8aBkCgSA2NC7jjVnikHyRMPsKBoPVgyyFgibpTjEJ,ipfs://QmS9xRb9uPHL9akk1f7ww9waiY6493cCLCW3uBVVxzLRP7,ipfs://QmNp6o2VVbKoVgYoXPpJBJ2ejUhrj53FhEig25LoVxzCbh,ipfs://QmPJDnnNguY2JtSp1JnuAYCzD4TeDekQxSWuTc4bWDTP5H
186,JACK EARLE | TEZOS PIRATE 186/666,99,52.1016307271,Common Animal,8,Rare Beard,Epic Boots,Uncommon Hat,Uncommon Jacket,Common Pants,Quartermaster,Uncommon Sword,ipfs://QmXgFK11gP9rsozTDuSyjDxWYASeVHp4NHVtfiX9nBaauR,ipfs://Qmbz6SU3EQHsAL92kTQJQrLb6W958hCkM27KLNaXpRMMDb,ipfs://QmWb36tH63k9fB195RBTHAUoEYLGEsajfMVgriU8Jmzs6E,ipfs://QmPuqw3raic7cubLs5DVeQJd5oXvmibnhnpEc8Y6CWhabJ
501,MIKE SMITH | TEZOS PIRATE 501/666,100,52.0461098553,Epic Animal,8,Rare Beard,Common Boots,Uncommon Hat,Uncommon Jacket,Common Pants,Quartermaster,Uncommon Sword,ipfs://QmRFHyCZCVJHA136iayg1PGvGePSMmmGGmouw9HQX7oy92,ipfs://QmT66vMCQE8ZfqJGoQ34qi777xy3j9ZciWE2BfKfF67dXV,ipfs://QmNqs6ve8gEaftNr8Jb5Gvko5fLCgG1ekSetGNeWfffUVZ,ipfs://QmVARyZp5KmPbq8fo5F1wbYNgxpZYfonxQVWHt4N6M637K
