ID,Description,Name,Rank,Rarity_Score,Animal,Attributes,Background,Body,Clothes,Expression,Eyewear,Headwear
1030,Animal #1693,seemed uneasy for,54,565.5289405605,Horse,7,Money,Brown,Fonz ranch,Menace,Glasses,Veronica
1340,Animal #4769,sheets; but as,55,565.5207571192,Horse,7,Purple,Grey,Writer bling,Cigarette,Glasses,Britpop
1352,Animal #1405,before. But they,56,554.0574348475,Horse,5,Graf,Pink,Fonz ranch,Moaning,None,None
1864,Animal #8238,work of the,57,548.9770473736,Horse,6,Purple,Brown,Summer bling,Eager,None,Britpop
1461,Animal #1222,with her horn,58,544.7701764501,Horse,6,Purple,Ghost glam,Mcqueen,Tired,None,Britpop
1976,Animal #3455,plans. He walked,59,544.220455156,Horse,7,Rave,Grey,Teen ranch,Pondering,Glasses,Bowler
1551,Animal #3972,his private motto,60,541.6188285479,Horse,6,Wall,Grey,Swimmer bling,Moaning,None,Veronica
1303,Animal #8348,mouth. Clover dropped,61,541.1485374493,Horse,7,Wall,Grey,Beatnik bling,Pondering,Glasses,Fisherman
1567,Animal #4843,mornings than the,62,538.3301112435,Horse,6,Bright,Pink,Jobs ranch,Friendly,None,Bowler
1407,Animal #8092,"all, they were",63,534.2224746899,Horse,7,Virtual,Orange,Diver bling,Cigarette,Lolita,Zeldman
1074,Animal #6494,"Leader, Comrade Napoleon,",64,527.3333179864,Horse,7,Rave,Tattoo,Diver bling,Stoned,Glasses,Betty
1220,Animal #3419,chalk gripped between,65,524.7608583427,Horse,7,Sea,Orange,Teen ranch,Dead,Monocle,Veronica
1578,Animal #1025,"anyway, what difference",66,522.7970226737,Horse,6,Death,Orange,Teen ranch,Cigarette,None,Halo
1422,Animal #2521,the story of,67,520.2895443085,Horse,7,Virtual,Orange,Winter ranch,Overdosed,Glasses,Beret
1964,Animal #8951,been born to,68,510.8988459468,Horse,6,Stars,Green,Vicar bling,Stoned,None,Cap
1737,Animal #8222,"were lies, and",69,509.1335255011,Horse,7,Heaven,Brown,Jobs bling,Frustrated,Glasses,Artist
1744,Animal #2055,the big barn,70,504.6461063562,Horse,7,Graf,Robot,Beatnik bling,Shock,Patch,Beret
1849,Animal #4039,in a gruff,71,497.3585931308,Horse,7,Camo,Ghost glam,Vicar,Yelling,Patch,Cap
1446,Animal #5593,him and which,72,497.0726962511,Horse,6,Heaven,Green,Spring bling,Eager,None,Fisherman
1457,Animal #3427,of excitement. Gradually,73,496.0359332058,Horse,7,Bright,Pink,Diver bling,Greed,Monocle,Police
1192,Animal #2196,"goat, could read",74,491.0334320507,Horse,7,Wall,Pink,Vicar bling,Cigarette,Cobain,Elvis
1374,Animal #5903,them that he,75,490.5953011869,Horse,7,Sea,Grey,Winter ranch,Vampire,Glasses,Britpop
1070,Animal #8136,Cowshed by means,76,488.7796361085,Horse,6,Flesh,Tattoo,Spring bling,Menace,Glasses,None
1860,Animal #1983,impossible not to,77,488.3195953391,Horse,6,Stars,Orange,Vicar bling,Beard,None,Britpop
1577,Animal #2117,books which they,78,476.2395294412,Horse,7,Bright,Brown,Beatnik bling,Friendly,Patch,Bowler
1050,Animal #9279,"the farmhouse himself,",79,474.7030663807,Horse,7,Bright,Grey,Spring bling,Shock,Sunglasses,Bowler
1919,Animal #9073,pigs had to,80,471.1318870758,Horse,6,Flesh,Brown,Spring bling,Friendly,Lolita,None
1663,Animal #6146,her foreleg on,81,470.11306815,Horse,7,Purple,Pink,Diver bling,Greed,Monocle,Betty
1610,Animal #4008,required to file,82,464.8815691403,Horse,6,Death,Brown,Jobs bling,Happy,None,Betty
1370,Animal #4137,be with him,83,462.9646466648,Horse,7,Graf,Green,Beatnik bling,Friendly,Glasses,Elvis
1741,Animal #8255,strength was not,84,459.8775836628,Horse,6,Purple,Grey,Jobs bling,Happy,None,Elvis
1840,Animal #1715,"interest. ""What is",85,456.0582244521,Horse,6,Death,Pink,Diver bling,Moaning,None,Beret
1723,Animal #4807,"beds, and sleep",86,455.3320361298,Horse,7,Graf,Ghost,Teen ranch,Moaning,Glasses,Betty
1328,Animal #3095,Mollie became more and,87,453.1733245204,Horse,6,Graf,Ghost,Vicar bling,Menace,None,Veronica
1239,Animal #6267,animals might possibly,88,452.1202379822,Horse,7,Purple,Green,Jobs bling,Eager,Glasses,Britpop
1025,Animal #8546,in a low-crowned,89,449.8688056424,Horse,7,Bright,Brown,Beatnik bling,Menace,Glasses,Veronica
1795,Animal #6414,in a fortnight.,90,447.8482687852,Horse,6,Purple,Ghost,Vicar bling,Eager,None,Bowler
1459,Animal #9620,he felt it,91,447.1238052198,Horse,7,Bright,Pink,Spring bling,Eager,Glasses,Artist
1267,Animal #8187,"it lies, Sugarcandy",92,443.04307398,Horse,6,Purple,Grey,Teen ranch,Eager,None,Bowler
1538,Animal #5968,unknown there since,93,440.3536158717,Horse,6,Wall,Grey,Jobs bling,Friendly,None,Artist
1405,Animal #1927,"was ""I will",94,428.571334777,Horse,6,Sea,Orange,Winter ranch,Happy,None,Beret
1951,Animal #3232,planning out the,95,419.6074856679,Horse,7,Hell,Brown,Winter ranch,Friendly,Lolita,Artist
1811,Animal #1625,to balance himself,96,416.1017701189,Horse,6,Bright,Ghost glam,Teen,Yelling,None,Bowler
1765,Animal #9039,"said, lay in",97,415.9660120545,Horse,6,Money,Robot,Winter ranch,Cigarette,None,Veronica
1033,Animal #6412,in public as,98,400.8936341236,Horse,6,Money,Ghost glam,Military,Menace,None,Beret
2000,Animal #1859,by themselves and,99,397.0650144,Horse,6,Wall,Green,Winter ranch,Cigarette,None,Betty
1002,Animal #6940,a piece of,100,390.2667832144,Horse,6,Hell,Orange,French ranch,Unsure,None,Police
1519,Animal #6593,Farm. In the,101,388.7780936115,Horse,7,Heaven,Robot,Teen bling,Yelling,Patch,Horns
1649,Animal #8178,"comrades,"" he would",102,387.629038211,Horse,7,Graf,Green,Prison ranch,Crazy,Glasses,Betty
1602,Animal #6994,"Whymper, his face",103,384.3855951147,Horse,7,Woodland,Grey,Prison ranch,Stoned,Glasses,Artist
1477,Animal #8536,raced back to,104,383.9912026825,Horse,6,Bright,Grey,Prison ranch,Spaced,None,Zeldman
1139,Animal #8923,superannuated animals had,105,381.276031706,Horse,6,Purple,Pink glam,Jobs,Frustrated,None,Headphones
1495,Animal #9417,the sheep had,106,369.7192657854,Horse,6,Death,Green,French ranch,Spaced,None,Bowler
1961,Animal #7596,strange incident which,107,367.8291128911,Horse,7,Death,Grey,French ranch,Eager,Monocle,Betty
1912,Animal #8895,"was dead; Bluebell,",108,362.5908605222,Horse,7,Camo,Green,Prison ranch,Moaning,Monocle,Betty
1184,Animal #9939,old dim eyes,109,357.8781560769,Horse,6,Woodland,Brown,Teen bling,Stoned,None,Halo
1829,Animal #6073,was within their,110,357.7419226813,Horse,7,Money,Robot,Prison ranch,Eager,Glasses,Britpop
1776,Animal #7375,very ground that,111,354.408536007,Horse,7,Purple,Ghost,Prison ranch,Kneiving,Sunglasses,Britpop
1341,Animal #6478,and especially the,112,354.0004459276,Horse,6,Graf,Pink,Repressed,Cigarette,None,Gamer
1353,Animal #3276,violent debates. At,113,353.0037635524,Horse,7,Wall,Ghost,French ranch,Unsure,Cobain,Betty
1743,Animal #8401,full of sympathy,114,350.3395077102,Horse,7,Bright,Grey glam,Eddie,Kneiving,Glasses,Betty
1938,Animal #8519,of his voice.,115,344.1327358578,Horse,7,Purple,Grey,French ranch,Yelling,Glasses,Bowler
1354,Animal #9325,was a pig,116,343.6284242759,Horse,7,Sea,Brown glam,Spring,Frustrated,Monocle,Bowler
1769,Animal #3801,the Sunday-morning Meetings,117,342.6119112107,Horse,6,Wall,Pink,French ranch,Dead,None,Britpop
1403,Animal #5220,he decided to,118,340.2686312857,Horse,6,Rave,Brown glam,Beatnik ranch,Yelling,None,Bowler
1262,Animal #3096,more troublesome. She was,119,335.0819203008,Horse,6,Sea,Pink glam,Polo,Eager,None,Veronica
1771,Animal #6269,at this moment,120,334.8407499882,Horse,6,Sea,Brown glam,Fonz,Eager,None,Bowler
1533,Animal #9591,company had been,121,329.8227146357,Horse,6,Purple,Brown,Prison ranch,Moaning,None,Veronica
1788,Animal #7783,be. For the,122,324.6284098056,Horse,7,Bright,Grey glam,Dealer,Unsure,Cobain,Veronica
1332,Animal #3439,at Snowball's drawings,123,323.5346361978,Horse,6,Wall,Pink,French ranch,Friendly,None,Bowler
1411,Animal #9238,that their lives,124,319.8484675257,Horse,7,Bright,Pink glam,Snooker,Unsure,Glasses,Veronica
1075,Animal #2865,stone against Jones's,125,319.0223624041,Horse,7,Wall,Ghost,Teen bling,Dead,Patch,Beret
1286,Animal #9875,green flag which,126,316.3195831112,Horse,6,Flesh,Brown glam,Beatnik,Pondering,None,Beret
1921,Animal #4388,"now stole, it",127,314.6312357197,Horse,6,Hell,Pink glam,Banker,Cigarette,None,Artist
1115,Animal #8341,his head. His,128,312.9796843407,Horse,5,Flesh,Pink glam,Prison,Greed,None,None
1376,Animal #8336,"Boxer, between the",129,312.3618315748,Horse,7,Death,Pink glam,Jobs,Moaning,Sunglasses,Artist
