ID,Name,Rank,Rarity_Score,Attributes,Background,Colour Scheme,Exploded?,Metallic Slice Percentage,Number of Cuts,Slice Angle,Slice Colour Weight,Special
864,SUMO #864,2391,38.292297938261655,7,Black,Iron Fist,Undetonated,75.8%,43,-20°,39.22%,
743,SUMO #743,2392,38.277470973236724,7,Black,Martian Manhunter,Undetonated,84.44%,19,10°,47.15%,
2005,SUMO #2005,2393,38.27309454781241,7,Black,Iron Fist,Undetonated,84.44%,43,-20°,47.15%,
550,SUMO #550,2394,38.26843332963182,7,Black,Martian Manhunter,Undetonated,25.89%,91,90°,59.29%,
2840,SUMO #2840,2395,38.26212373562632,7,Black,Martian Manhunter,Undetonated,84.44%,91,-80°,47.67%,
1562,SUMO #1562,2396,38.25062837275414,7,Black,Martian Manhunter,Undetonated,42.06%,19,70°,59.29%,
1601,SUMO #1601,2397,38.250563513039886,7,Black,Brainiac 5,Undetonated,84.44%,91,-20°,39.22%,
2626,SUMO #2626,2398,38.24333351474351,7,Reaction Diffusion,Aquaman,Undetonated,84.44%,43,30°,59.29%,
983,SUMO #983,2399,38.241384909286886,7,Black,The Thing,Undetonated,42.06%,19,10°,47.67%,
1289,SUMO #1289,2400,38.24117928220199,7,Reaction Diffusion,Captain America,Undetonated,84.44%,43,30°,47.67%,
338,SUMO #338,2401,38.223799869758835,7,Black,Martian Manhunter,Undetonated,84.44%,19,10°,39.22%,
2013,SUMO #2013,2402,38.219423444334524,7,Black,Iron Fist,Undetonated,84.44%,43,-20°,39.22%,
124,SUMO #124,2403,38.217279970883666,7,Black,Martian Manhunter,Undetonated,25.89%,19,70°,59.29%,
1108,SUMO #1108,2404,38.216087473570155,7,Black,Iron Fist,Undetonated,25.89%,19,-20°,47.15%,
1910,SUMO #1910,2405,38.213762912833324,7,Black,The Thing,Undetonated,75.8%,91,90°,47.67%,
2941,SUMO #2941,2406,38.20803650741641,7,Black,The Thing,Undetonated,25.89%,19,10°,47.67%,
1655,SUMO #1655,2407,38.2076575046895,7,Black,Martian Manhunter,Undetonated,84.44%,91,-80°,47.15%,
1460,SUMO #1460,2408,38.19350131153561,7,Black,Martian Manhunter,Undetonated,42.06%,43,90°,20.68%,
1964,SUMO #1964,2409,38.16550993104142,7,Black,Martian Manhunter,Undetonated,75.8%,43,10°,47.15%,
881,SUMO #881,2410,38.16260955408517,7,Black,The Thing,Undetonated,75.8%,19,70°,47.67%,
1374,SUMO #1374,2411,38.1592966818965,7,Black,The Thing,Undetonated,75.8%,91,90°,47.15%,
2058,SUMO #2058,2412,38.15690624724396,7,Black,The Thing,Undetonated,84.44%,43,10°,39.22%,
344,SUMO #344,2413,38.15398640121161,7,Black,Martian Manhunter,Undetonated,84.44%,91,-80°,39.22%,
1149,SUMO #1149,2414,38.15357027647959,7,Black,The Thing,Undetonated,25.89%,19,10°,47.15%,
333,SUMO #333,2415,38.15038634836879,7,Black,The Thing,Undetonated,25.89%,43,70°,59.29%,
484,SUMO #484,2416,38.150206638960384,7,Black,Brainiac 5,Undetonated,42.06%,91,-20°,47.67%,
2715,SUMO #2715,2417,38.14710166805112,7,Black,Martian Manhunter,Undetonated,84.44%,43,10°,47.67%,
2449,SUMO #2449,2418,38.138223038869185,7,Black,The Thing,Undetonated,25.89%,91,-80°,47.67%,
176,SUMO #176,2419,38.129705977022915,7,Reaction Diffusion,Captain America,Undetonated,25.89%,19,30°,47.15%,
1888,SUMO #1888,2420,38.12344299567934,7,Black,Martian Manhunter,Undetonated,42.06%,19,10°,47.67%,
2338,SUMO #2338,2421,38.117105209802844,7,Black,The Thing,Undetonated,42.06%,91,-80°,47.15%,
54,SUMO #54,2422,38.11183882756354,7,Black,Martian Manhunter,Undetonated,75.8%,43,10°,39.22%,
748,SUMO #748,2423,38.10938327541551,7,Reaction Diffusion,Captain America,Undetonated,42.06%,19,30°,39.22%,
2751,SUMO #2751,2424,38.10835319730781,7,Black,The Thing,Undetonated,75.8%,19,10°,20.68%,
84,SUMO #84,2425,38.10814332314835,7,Black,The Thing,Undetonated,75.8%,19,70°,47.15%,
2468,SUMO #2468,2426,38.10562557841862,7,Black,The Thing,Undetonated,75.8%,91,90°,39.22%,
1893,SUMO #1893,2427,38.0998991730017,7,Black,The Thing,Undetonated,25.89%,19,10°,39.22%,
2843,SUMO #2843,2428,38.09582099922577,7,Black,Martian Manhunter,Undetonated,75.8%,91,90°,47.67%,
366,SUMO #366,2429,38.09574040802356,7,Black,Brainiac 5,Undetonated,42.06%,91,-20°,47.15%,
1620,SUMO #1620,2430,38.094315278242625,7,Black,Iron Fist,Undetonated,75.8%,91,-20°,59.29%,
2772,SUMO #2772,2431,38.092635437114296,7,Black,Martian Manhunter,Undetonated,84.44%,43,10°,47.15%,
2786,SUMO #2786,2432,38.090094593808864,7,Black,Martian Manhunter,Undetonated,25.89%,19,10°,47.67%,
1602,SUMO #1602,2433,38.08973506015805,7,Black,The Thing,Undetonated,84.44%,19,70°,47.67%,
784,SUMO #784,2434,38.086422187969376,7,Black,The Thing,Undetonated,84.44%,91,90°,47.15%,
850,SUMO #850,2435,38.068976764742516,7,Black,Martian Manhunter,Undetonated,42.06%,19,10°,47.15%,
1656,SUMO #1656,2436,38.064600339318204,7,Black,Iron Fist,Undetonated,42.06%,43,-20°,47.15%,
2121,SUMO #2121,2437,38.063434106324955,7,Black,The Thing,Undetonated,42.06%,91,-80°,39.22%,
2871,SUMO #2871,2438,38.06239200615309,7,Black,Brainiac 5,Undetonated,25.89%,91,-20°,47.15%,
1294,SUMO #1294,2439,38.041354768288954,7,Black,Martian Manhunter,Undetonated,75.8%,91,90°,47.15%,
2118,SUMO #2118,2440,38.038964333636414,7,Black,Martian Manhunter,Undetonated,84.44%,43,10°,39.22%,
1119,SUMO #1119,2441,38.03853972876058,7,Black,The Thing,Undetonated,75.8%,91,-80°,20.68%,
355,SUMO #355,2442,38.035478703380676,7,Black,The Thing,Undetonated,84.44%,19,10°,20.68%,
2573,SUMO #2573,2443,38.03008570445448,7,Black,The Thing,Undetonated,25.89%,91,-80°,39.22%,
1010,SUMO #1010,2444,38.02320097129398,7,Black,The Thing,Undetonated,25.89%,43,10°,47.67%,
2337,SUMO #2337,2445,38.0214407843155,7,Black,Iron Fist,Undetonated,84.44%,91,-20°,59.29%,
823,SUMO #823,2446,38.02028112526164,7,Black,Martian Manhunter,Undetonated,25.89%,91,-80°,47.67%,
