ID,Name,Rank,Rarity_Score,Attributes,Background,Body,Body Material,Energy,Flyer,Head,Left Arm,Right Arm
200,Unibot #200,263,75.84538600308515,8,Florence,Synthetic Heart,Silver,Wind,No,Rocket,A001,A001
985,Unibot #985,264,75.80715088055533,8,Sahara,Suit,Silver,Hydraulic,No,Fancy Chappie,A009,A009
492,Unibot #492,265,75.78122994147071,8,Delphi,Satellite,Silver,Solar,No,Queen Bee,A007,A007
959,Unibot #959,266,75.75112532249675,8,Buenos Aires,Candy Machine,Silver,Geothermal,No,Brain Capsule,A002,A002
80,Unibot #80,267,75.74780826493537,8,Athens,Car Jack,Silver,Hydraulic,No,Jaw,A001,A001
621,Unibot #621,268,75.73497328983942,8,Sahara,Satellite,Silver,Biodiesel,No,Fancy Chappie,A009,A009
740,Unibot #740,269,75.71739341503985,8,Florence,Mustang Engine,Silver,Geothermal,No,Bee,A001,A001
971,Unibot #971,270,75.69668026401922,8,Delphi,Drying machine,Silver,Biodiesel,No,Queen Bee,A002,A002
210,Unibot #210,271,75.6884993002014,8,New York City,Armor 02,Gold,Solar,No,Brain Capsule,A008,A008
669,Unibot #669,272,75.67991218206802,8,Babylon,Candy Machine,Silver,Geothermal,No,Fancy Chappie,A008,A008
230,Unibot #230,273,75.67781550226837,8,Buenos Aires,Armor 02,Silver,Solar,No,Lighbulb,A002,A002
960,Unibot #960,274,75.66963619240092,8,Miami,Drying machine,Silver,Biodiesel,No,Electric Rocket,A009,A009
906,Unibot #906,275,75.65730367435208,8,Granada,Mustang Engine,Silver,Wind,No,Open Helmet,A005,A005
364,Unibot #364,276,75.6338389019982,8,Buenos Aires,Drying machine,Silver,Solar,No,Fancy Chappie,A005,A005
28,Unibot #28,277,75.63038012570361,8,Yucatan,Satellite,Gold,Solar,No,Helmet,A005,A005
432,Unibot #432,278,75.630163854955,8,New Mexico,Candy Machine,Silver,Wind,No,Jaw,A001,A001
159,Unibot #159,279,75.61626267267441,8,Delphi,Candy Machine,Silver,Biodiesel,No,Electric Rocket,A007,A007
639,Unibot #639,280,75.59817140453319,8,New Mexico,Armor 01,Silver,Geothermal,No,Rocket,A009,A009
938,Unibot #938,281,75.58833816454722,8,Hong Kong,Car Jack,Silver,Geothermal,No,Queen Bee,A002,A002
757,Unibot #757,282,75.57974559998638,8,New York City,Synthetic Heart,Silver,Solar,No,Queen Bee,A007,A007
264,Unibot #264,283,75.57956500695641,8,Miami,Satellite,Silver,Geothermal,No,Electric Rocket,A007,A007
498,Unibot #498,284,75.5665331809044,8,Babylon,Suit,Silver,Solar,No,Rocket,A008,A008
118,Unibot #118,285,75.53887998322823,8,Yucatan,Armor 02,Silver,Geothermal,No,Screen,A004,A004
157,Unibot #157,286,75.512126952598,8,Hong Kong,Car Jack,Silver,Hydraulic,No,Rocket,A009,A009
317,Unibot #317,287,75.50992731810112,8,Babylon,Drying machine,Silver,Solar,No,Electric Rocket,A002,A002
314,Unibot #314,288,75.49908696860298,8,Granada,Satellite,Silver,Biodiesel,No,Drone,A009,A009
991,Unibot #991,289,75.4955869119118,8,Yucatan,Satellite,Silver,Hydraulic,No,Lighbulb,A004,A004
431,Unibot #431,290,75.4413363316013,8,Paris,Satellite,Silver,Biodiesel,No,Open Helmet,A002,A002
382,Unibot #382,291,75.40280683279552,8,New Mexico,Car Jack,Silver,Wind,No,Lighbulb,A004,A004
307,Unibot #307,292,75.38400067073401,8,Delphi,Armor 04,Silver,Wind,No,Chappie,A005,A005
782,Unibot #782,293,75.36929454093884,8,Florence,Satellite,Silver,Geothermal,No,Helmet,A003,A003
254,Unibot #254,294,75.36292166149227,8,New York City,Synthetic Heart,Gold,Solar,No,Electric Rocket,A005,A005
799,Unibot #799,295,75.34318540000028,8,Florence,Armor 04,Gold,Solar,No,Lighbulb,A008,A008
70,Unibot #70,296,75.33614839023544,8,Yucatan,Drying machine,Silver,Solar,No,Broken Screen,A004,A004
415,Unibot #415,297,75.30876843611448,8,New York City,Satellite,Silver,Geothermal,No,Rocket,A009,A009
78,Unibot #78,298,75.30427525460661,8,Paris,Armor 01,Silver,Hydraulic,No,Chappie,A006,A006
800,Unibot #800,299,75.3026226136495,8,Paris,Armor 02,Silver,Hydraulic,No,Chappie,A004,A004
731,Unibot #731,300,75.28400444111823,8,Buenos Aires,Suit,Silver,Hydraulic,No,Fancy Chappie,A005,A005
142,Unibot #142,301,75.25909295300431,8,Sahara,Mustang Engine,Silver,Geothermal,No,Drone,A004,A004
977,Unibot #977,302,75.23848232533682,8,New York City,Satellite,Silver,Solar,No,Screen,A009,A009
165,Unibot #165,303,75.23599553666016,8,Carthage,Candy Machine,Silver,Biodiesel,No,Helmet,A003,A003
1007,Unibot #1007,304,75.23526087369578,8,Caracas,Car Jack,Silver,Geothermal,No,Bee,A001,A001
488,Unibot #488,305,75.22784345653426,8,New York City,Armor 02,Silver,Geothermal,No,Open Helmet,A002,A002
690,Unibot #690,306,75.21149701541327,8,Hong Kong,Car Jack,Silver,Biodiesel,No,Jaw,A001,A001
285,Unibot #285,307,75.19268826222951,8,Carthage,Synthetic Heart,Silver,Biodiesel,No,Drone,A001,A001
515,Unibot #515,308,75.1649505713517,8,New York City,Candy Machine,Silver,Geothermal,No,Screen,A008,A008
258,Unibot #258,309,75.1410071821785,8,Florence,Armor 04,Gold,Solar,No,Electric Rocket,A002,A002
180,Unibot #180,310,75.10845576033289,8,Athens,Armor 01,Silver,Solar,No,Fish Tank,A002,A002
619,Unibot #619,311,75.09662511445893,8,Athens,Candy Machine,Silver,Geothermal,No,Queen Bee,A008,A008
622,Unibot #622,312,74.92407684415745,8,Granada,Drying machine,Silver,Biodiesel,No,Electric Rocket,A002,A002
50,Unibot #50,313,74.9134486253353,8,Caracas,Armor 02,Silver,Hydraulic,No,Chappie,A002,A002
268,Unibot #268,314,74.91072609182477,8,Buenos Aires,Armor 02,Gold,Solar,No,Jaw,A005,A005
861,Unibot #861,314,74.91072609182477,8,Buenos Aires,Armor 02,Gold,Solar,No,Jaw,A005,A005
251,Unibot #251,316,74.89821239312484,8,Florence,Satellite,Gold,Solar,No,IG-11,A004,A004
19,Unibot #19,317,74.862517044121,8,New York City,Synthetic Heart,Gold,Solar,No,Bee,A006,A006
708,Unibot #708,318,74.82748606548088,8,Granada,Armor 01,Silver,Biodiesel,No,Screen,A008,A008
526,Unibot #526,319,74.82428589645649,8,Buenos Aires,Armor 01,Silver,Solar,No,Rocket,A006,A006
915,Unibot #915,320,74.82038406546843,8,Sahara,Satellite,Silver,Wind,No,Screen,A004,A004
871,Unibot #871,321,74.80575557989987,8,Yucatan,Car Jack,Silver,Geothermal,No,Helmet,A008,A008
215,Unibot #215,322,74.79987224263452,8,Babylon,Candy Machine,Silver,Hydraulic,No,Rocket,A002,A002
91,Unibot #91,323,74.7942540092417,8,New Mexico,Drying machine,Silver,Hydraulic,No,Queen Bee,A004,A004
880,Unibot #880,324,74.7284591979708,8,Edo,Mustang Engine,Silver,Geothermal,No,Fish Tank,A002,A002
417,Unibot #417,325,74.72284596285368,8,Sahara,Candy Machine,Silver,Wind,No,Googles,A007,A007
346,Unibot #346,326,74.72017594957025,8,Paris,Car Jack,Silver,Wind,No,Open Helmet,A006,A006
343,Unibot #343,327,74.71694744980232,8,Athens,Armor 01,Gold,Hydraulic,No,Brain Capsule,A006,A006
643,Unibot #643,328,74.7055499797835,8,Miami,Synthetic Heart,Silver,Biodiesel,No,Lighbulb,A007,A007
530,Unibot #530,329,74.70182314696366,8,Florence,Candy Machine,Silver,Solar,No,Fancy Chappie,A001,A001
60,Unibot #60,330,74.68404615386629,8,Miami,Mustang Engine,Silver,Geothermal,No,Lighbulb,A002,A002
72,Unibot #72,331,74.64366397023898,8,Florence,Satellite,Gold,Solar,No,Googles,A008,A008
38,Unibot #38,332,74.62600643618086,8,Athens,Armor 02,Gold,Hydraulic,No,Helmet,A008,A008
191,Unibot #191,333,74.62503170720126,8,Yucatan,Armor 04,Silver,Solar,No,Screen,A004,A004
1017,Unibot #1017,334,74.62356873527752,8,Edo,Satellite,Gold,Hydraulic,No,Brain Capsule,A002,A002
778,Unibot #778,335,74.61472724479957,8,Babylon,Armor 01,Silver,Hydraulic,No,Open Helmet,A006,A006
237,Unibot #237,336,74.60967255658,8,Granada,Armor 01,Silver,Wind,No,Fancy Chappie,A008,A008
589,Unibot #589,337,74.59881715299429,8,Paris,Car Jack,Silver,Biodiesel,No,Fish Tank,A004,A004
156,Unibot #156,338,74.59350899457401,8,Delphi,Satellite,Silver,Biodiesel,No,Screen,A008,A008
213,Unibot #213,339,74.58539005585592,8,Sahara,Armor 02,Silver,Wind,No,Drone,A009,A009
595,Unibot #595,340,74.57948272182877,8,Miami,Armor 04,Silver,Geothermal,No,Fish Tank,A009,A009
481,Unibot #481,341,74.56776320515462,8,Miami,Synthetic Heart,Silver,Geothermal,No,Electric Rocket,A007,A007
1011,Unibot #1011,342,74.56188943366902,8,New Mexico,Synthetic Heart,Silver,Wind,No,Helmet,A001,A001
97,Unibot #97,343,74.51951688011951,8,Yucatan,Synthetic Heart,Silver,Hydraulic,No,Bee,A008,A008
260,Unibot #260,344,74.5119235566765,8,New Mexico,Synthetic Heart,Silver,Solar,No,Open Helmet,A004,A004
931,Unibot #931,345,74.49014128155238,8,New York City,Car Jack,Silver,Hydraulic,No,Queen Bee,A004,A004
663,Unibot #663,346,74.4414857524172,8,Florence,Satellite,Gold,Solar,No,Googles,A002,A002
