ID,Name,Rank,Rarity_Score,Attributes,BG Overlay 1,BG Overlay 2,Background,Ears,Extras,Eyes,Hat,Head,Head Detail,Mouth,Nose,Title
479,Inkspunk #479,578,238.86878642049416,12,Blood Wash,Frosty,Newsprint 02,Ear 11,Stand,Smoke,Tidy Dreads,Washed,Evil,Boney,Tipsy,Logo 7
232,Inkspunk #232,579,238.78092625244713,12,Scratches,Hot Sauce,Newsprint 03,Ear 1,Power,Annoyed,Punk,Headlines,Frigid,Boney,Bandaged,Logo 7
351,Inkspunk #351,580,238.7524772955702,12,Scratches,Hot Sauce,Newsprint 09,Ear 11,Death,Suspicious,Rambo,Markt,Hollow,Anguish,Crypt,Logo 4
574,Inkspunk #574,581,238.67977347415766,12,Coagulated,Candy Floss,Newsprint 08,Ear 5,Data,Fire,Dark Wave,Bleached,Fuchsia Skull,Rotted,Pinched,Logo 3
87,Inkspunk #87,582,238.51803539040543,12,Splattered,Candy,Newsprint 03,Ear 11,Rise Up,Cavernous,Snoop,Washed,Ultra Violence,Hungry,Bleached,Logo 3
318,Inkspunk #318,583,238.40072090536398,12,Bright Spot,Tundra,Newsprint 11,Ear 4,Data,Graphic,Magician,Indigo,Fuchsia Ghost,Fear,Broken,Logo 6
557,Inkspunk #557,584,238.3933213038855,12,Scratches,Sriracha,Newsprint 13,Ear 9,Wake Up,Confused,Flame Spikes,Indigo,Scowl,Growl,Lodovico,Logo 8
775,Inkspunk #775,585,238.3082298016543,12,Tsunami,Candy Floss,Newsprint 12,Ear 11,Watching,Fire,Tourist,Red,Dusk,Fear,Bleached,Logo 3
602,Inkspunk #602,586,238.29217669879176,12,Blood Wash,Hubba,Newsprint 04,Ear 1,Freedom,Relaxed,Flame Spikes,Blue,White Outline,Snarl,Bloody,Logo 7
746,Inkspunk #746,587,238.24462008036042,12,New Day,Hot Sauce,Newsprint 01,Ear 2,Right Click,Blue,Traveller,Grey,Cyber Skull,Saw Tooth,Blue,Logo 7
791,Inkspunk #791,588,238.2396767655607,12,Hades,Too Hot,Newsprint 10,Ear 7,Life,Fire,Docks,Splattered,Fuchsia Bleed,Growl,Lodovico,Logo 5
154,Inkspunk #154,589,238.17854360194866,12,Hades,Frosty,Newsprint 07,Ear 10,Right Click,Incensed,Anarchy,Washed,Ultra Violence,Vampire,Broken,Logo 1
315,Inkspunk #315,590,238.15834823579627,12,Blood Wash,Peppermint,Newsprint 10,Ear 7,Lies,Suspicious,Tilley,Rheinische,Evil,Hungry,Broken,Logo 6
755,Inkspunk #755,591,238.11200261333374,12,Splattered,Candy Floss,Newsprint 08,Ear 9,Lies,Ready,Ebony,Grey,Black And White,Shout,Pinched,Logo 4
784,Inkspunk #784,592,238.07721687101323,12,Splattered,Too Hot,Newsprint 10,Ear 8,Happiness,Sad,Basqunks,Grey,Splats,Hungry,Bandaged,Logo 3
272,Inkspunk #272,593,238.03426026561152,12,Blood Wash,Gummi,Newsprint 05,Ear 10,Freedom,Twenty,Thorns,Murdered,Evil,Boney,Bleached,Logo 8
67,Inkspunk #67,594,237.93840010217886,12,Coagulated,Tundra,Newsprint 08,Ear 6,Power,Graffiti,Punk,Liberty,Heated,Snarl,Broken,Logo 5
378,Inkspunk #378,595,237.87066840878163,12,Blood Wash,Peppermint,Newsprint 03,Ear 2,Manic,Alert,Night King,Red,Head Hole,Saw Tooth,Bulbous,Logo 8
