ID,Name,Rank,Rarity_Score,Attributes,Background,Body,Clothes,Eyes,Hat,Legendary,Mouths
985,BatBits #985,59,173.99829770127923,6,Rainbow,Red,Loco,Smiley Lashes,Tophat,,Tongue
513,BatBits #513,60,172.9679788501581,6,Blue,Blue,Mime,Glasses,Viking,,Sad Lip
2183,BatBits #2183,61,170.14299162173006,6,Rainbow,Yellow,Hipster,Glasses,Viking,,Disappointed
1484,BatBits #1484,62,168.5541948015577,6,Sky,Purple,Hipster,Pirate Lashes,Long Blonde,,Wide Sad
2247,BatBits #2247,63,168.12140577988194,6,Purple,Black,Lazy,Pirate Lashes,Boat,,Straight Lip
2040,BatBits #2040,64,167.7963918054892,6,Purple,Blue,Polo Orange,Single,Viking,,Hmm
1911,BatBits #1911,65,166.52647696315194,6,Sunrise,Red,Ladybug,Triple,Flower,,Chob Lip
1528,BatBits #1528,66,166.3550214138118,6,Sky,Pink,Blue Crewneck,Pirate Lashes,2Pac Yellow,,Sad
1971,BatBits #1971,67,166.17088522586008,6,Blue,Red,Loco,Hearts,Tophat,,Wide Sad
2924,BatBits #2924,68,164.30489836518092,6,Toxic,Yellow,Ninja,Hearts,Caphead,,Wide Smile Lip
1233,BatBits #1233,69,163.90008413184532,6,Purple,Sky,White Hoodie,Pirate Lashes,Bandana,,Chob Lip
2629,BatBits #2629,70,163.68393657853102,6,Rainbow,Yellow,Mime,Hearts Lashes,Boat,,Tongue
51,BatBits #51,71,163.5037906242458,6,Sorry,Red,Mime,Msr,2Pac Yellow,,Wide Smile
2515,BatBits #2515,72,163.1553343978812,6,Purple,Red,Hipster,Dollar,2Pac,,Hmm
2889,BatBits #2889,73,163.08862774486758,6,Blue,Purple,Ninja,Simple Lashes,Viking,,Straight Lip
97,BatBits #97,74,162.0711149609788,6,Blue,Black,Gladiator,Triple,Weird,,Disappointed Lip
2989,BatBits #2989,75,161.4897949978764,6,Purple,Pink,Bluestar,Pirate,Short Black,,Straight Lip
2632,BatBits #2632,76,161.38541362186652,6,Orange,Black,Tie,Simple,Earing Bar,,Hmm
321,BatBits #321,77,161.20052334807957,6,Toxic,Green,Crewneck,Pirate,Sailor,,Disappointed Lip
1627,BatBits #1627,78,159.22828971283815,6,Orange,Red,Mime,Dollar,Long Black,,Scar
1873,BatBits #1873,79,158.74426400412466,6,Yellow,Red,Ninja,Dollar,Boat,,Disappointed
1319,BatBits #1319,80,158.34944429958853,6,Blue,Sky,Bluestar,Single,Bandana Yellow,,Hmm
1184,BatBits #1184,81,158.23962925865376,6,Blue,Black,Polo Orange,Pirate Lashes,Bandana Yellow,,Wide Sad Lip
1290,BatBits #1290,82,157.590019189047,6,Sky,Yellow,Wired,Rip Lashes,2Pac Yellow,,Sad Lip
780,BatBits #780,83,156.60142185014536,6,Blue,Orange,Crewneck,Pirate,Taxi,,Sad Lip
2298,BatBits #2298,84,156.0401009135157,6,Toxic,Red,Pink Skirt,Rip Lashes,Tophat,,Disappointed Lip
1369,BatBits #1369,85,155.4710813915073,6,Orange,Orange,Crewneck,Pirate,2Pac,,Disappointed
830,BatBits #830,86,154.54911780985586,6,Toxic,White,Gladiator,Dollar,2Pac Yellow,,Wide Smile
2690,BatBits #2690,87,153.96542616343092,6,Sky,Red,Jacket,Smiley Lashes,Weird,,Hmm
277,BatBits #277,88,153.72641310289458,6,Yellow,White,Pink Skirt,Msr,Tophat,,Wide Sad
823,BatBits #823,89,153.0623527777003,6,Sunrise,Orange,Crewneck,Glasses,Viking,,Wide Smile
1423,BatBits #1423,90,153.05918991484515,6,Blue,Orange,Yellow Skirt,Pirate Lashes,2Pac,,Sad
2833,BatBits #2833,91,152.76706238203718,6,Blue,Red,Ladybug,Dollar,Viking,,Wide Smile
1115,BatBits #1115,92,152.42325830401086,6,Rainbow,Orange,Blue Crewneck,Pirate,Short Black,,Wide Sad
709,BatBits #709,93,152.35823318249484,6,Yellow,Green,Yellow Hoodie,Pirate Lashes,Sailor,,Wide Smile Lip
2438,BatBits #2438,94,152.25632379144093,6,Purple,Pink,Loco,Hearts Lashes,Sailor,,Scar
1728,BatBits #1728,95,152.10731386534488,6,Sunrise,Green,Polo Orange,Msr,Earing Bar,,Wide Sad Lip
996,BatBits #996,96,151.94937210662636,6,Love,Black,Gladiator,Single Lashes,More Weird,,Wide Smile
2978,BatBits #2978,97,151.148679477886,6,Yellow,Green,Pink Skirt,Smiley Lashes,Taxi,,Hmm
2182,BatBits #2182,98,150.80733627536034,6,Sky,Purple,Crewneck,Pirate Lashes,Bandana Yellow,,Smile
2885,BatBits #2885,99,150.64277631713992,6,Orange,Pink,Orange Hoodie,Pirate,Bandana Black,,Disappointed
514,BatBits #514,100,149.4294748454603,6,Blue,Green,Lazy,Pirate Lashes,Arrow,,Smile
781,BatBits #781,101,149.38269352763666,6,Rainbow,Orange,Crewneck,Pirate,Bandana,,Chob
2852,BatBits #2852,102,149.23407156853665,6,Blue,Blue,Wired,Msr,Boat,,Derp
1126,BatBits #1126,103,149.15172177189496,6,Blue,Red,Yellow Skirt,Single Lashes,Caphead,,Hmm
450,BatBits #450,104,149.06121891002218,6,Sunrise,Blue,Ladybug,Bored Lashes,Weird,,Wide Smile
2188,BatBits #2188,105,148.68044670534348,6,Rainbow,Red,Crewneck,Pirate Lashes,Short Blonde,,Straight
2150,BatBits #2150,106,148.3873902144051,6,Purple,Green,White Hoodie,Smiley,Taxi,,Hmm
1009,BatBits #1009,107,148.30057692445254,6,Sunrise,Blue,Patch,Simple Lashes,Batbit Hat,,Scar
1202,BatBits #1202,108,148.27590212640763,6,Orange,White,Wired,Msr,Bandana Yellow,,Chob
2897,BatBits #2897,109,147.94490629398692,6,Blue,Orange,Ladybug,Rip,Viking,,Tongue
2163,BatBits #2163,110,147.44847349303302,6,Yellow,Sky,Mime,Triple Lashes,Short Blonde,,Wide Smile
444,BatBits #444,111,147.43091339018804,6,Love,Purple,Gladiator,Smiley Lashes,Taxi,,Tongue
2753,BatBits #2753,112,147.3336436618038,6,Blue,Green,Loco,Msr,Short Black,,Tongue
1794,BatBits #1794,113,146.9354025832076,6,Blue,Pink,Mime,Bored Lashes,2Pac Yellow,,Disappointed Lip
1110,BatBits #1110,114,146.89741907016884,6,Orange,Yellow,Crewneck,Pirate Lashes,Buckethat,,Straight
401,BatBits #401,115,146.83936170496722,6,Love,Orange,Loco,Single,Boat,,Scar
