ID,Name,Rank,Rarity_Score,Accessory,Attributes,Background,Clothes,Eyes,Head,Legendary,Mouth,Skin,Tattoo
1267,SadPython #1267,329,136.68388462648136,Soap,7,Dark,Deliveryboy,Distracted,Starducks,,Mouth 3,Violet,
2793,SadPython #2793,330,136.6606249022432,Vaxpass,6,Myday,Firefight,Distracted,,,Mouth 14,Violet,
1258,SadPython #1258,331,136.53147927982374,Razorblade,7,Myday,Prisoner,Energetic,Windy,,Mouth 9,Pinky,
2838,SadPython #2838,332,136.48145108820114,Iwatch,7,Myday,Sweater,Dead,,,Mouth 6,Ruby,Tezos
2880,SadPython #2880,333,136.45158164125306,Zippo,6,Dark,Fishman,Lament,,,Mouth 16,Amarillo,
1080,SadPython #1080,334,136.43969070972534,Phone,7,Cemento,Chester,Lament,Mrsdavis,,Mouth 10,Ruby,
3030,SadPython #3030,335,136.4364514854246,Soap,7,Dark,Casual,Shocked,Jokage,,Mouth 4,Cyan,
1155,SadPython #1155,336,136.18847515627226,Calc,6,95S,Tommy,Closed,,,Mouth 12,Charcoal,
175,SadPython #175,337,136.06711453648495,Ledger,7,Dark,Redshirt,Dazed,Rider,,Mouth 4,Charcoal,
2848,SadPython #2848,338,135.91025733369855,Ledger,7,Myday,Deliveryboy,Sceptic,Punk,,Mouth 2,Cyan,
2224,SadPython #2224,339,135.86762352579564,Strike,6,95S,Pylice,Energetic,,,Mouth 7,Charcoal,
2545,SadPython #2545,340,135.6331683746255,Zippo,6,Cemento,Mets,Dazed,,,Mouth 16,Honeycheese,
1205,SadPython #1205,341,135.38465204636736,Enzyme,6,Myday,Deliveryboy,Painful,,,Mouth 5,Ruby,
2246,SadPython #2246,342,135.37526212057833,,7,Myday,Firefight,Sceptic,Peasant,,Mouth 10,Amarillo,Solana
1086,SadPython #1086,343,135.13874881959046,Razorblade,7,Myday,Casual,Shocked,Windy,,Mouth 8,Charcoal,
624,SadPython #624,344,134.93605287953383,Knife,7,95S,Prisoner,Dazed,Mrsdavis,,Mouth 8,Violet,
2245,SadPython #2245,345,134.65795651809037,Phone,7,Dark,Pyman,Dead,French,,Mouth 10,Honeycheese,
1373,SadPython #1373,346,134.6435706538206,Alienblaster,6,Dark,Mets,Sorry,,,Mouth 12,Stone,
1903,SadPython #1903,347,134.2782249778132,Strike,7,Cemento,Chester,Crying,,,Mouth 6,Charcoal,Tezos
2889,SadPython #2889,348,134.0199482270588,Zubenyakov,7,Misty,Firefight,Lament,Peasant,,Mouth 6,Violet,
1363,SadPython #1363,349,134.00421292431196,Calc,7,Dark,Casual,Dazed,Windy,,Mouth 8,Ruby,
2665,SadPython #2665,350,133.76742291849905,Egg,7,Cemento,Mets,Painful,Chocohaircut,,Mouth 3,Amarillo,
2698,SadPython #2698,351,133.7577980100862,Dope,6,Misty,Astro,Sceptic,,,Mouth 12,Cyan,
1477,SadPython #1477,352,133.3954019236337,Nitrilglove,7,Misty,Chester,Energetic,Rider,,Mouth 11,Ultramar,
2173,SadPython #2173,353,133.35973701519922,,5,Myday,Dungeonmaster,Dazed,,,Mouth 9,Honeycheese,
66,SadPython #66,354,133.0088344243472,Enzyme,6,Myday,Mets,Lament,,,Mouth 3,Charcoal,
