ID,Name,Rank,Rarity_Score,Angle Mod,Attributes,Center Effect,Circles Amount,Color Blink,Color Changes,Distribution,Inks,Inks Count,Noise Amp,Noise Animation,Noise Frequency,IPFS_URI,Artifact_URI,Display_URI,Thumbnail URI
997884,Plottable Field (8 frames) #303,368,48.497040421240904,None,6,None,None,None,None,Voronoi,Amber,1,High,Slow,Low,QmfT4spJ3RBvvLCo6DUUP7FgriPexUvyYGL5B7fU6R1Fg5,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=onqb1KKQam64ZVbZ43SQBVPHhRW3Xzh6YMDv7FXcrYJFi8jHRga,ipfs://QmbED6vWjHeJrd5fvVNZP9PFHRZKvvu1McMDU3kE8iyMLL,ipfs://QmXvUwbhJCDM3rnmbzynzc7SPWTqa2bM7h7ujY33PD6sch
788590,Plottable Field (8 frames) #125,369,48.42146944049751,None,6,None,None,None,None,NestedSquares,Black,1,High,Partially Normal,Low,Qmbo1TQNTUh7kutuoBDddJ4WruBJK7t2f2du7r3rSgSwQK,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=ooygSps9PWVQCW5xLi3xtpEjkmNCQfHyrWMSPbgQ7Ahv3udQvKd,ipfs://QmXzHKY7uqTYiCtbeBqPndQVTucq2wmsBPPBu8AhwbNM9s,ipfs://QmUW5ynnQuUHDYU2Y9rzQxuN8Mu1Y5RanSUuBjhgAmeBqQ
767491,Plottable Field (8 frames) #37,370,48.31339603553596,None,6,None,None,None,None,GoldSpiralCircle,Amber,1,High,Normal,Medium,QmZ7QvcvCWUntNcyRMndg5W9MJfMFEAdEWQRQmykc4ZFkj,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=op4jiJbxazdA3zgF7Mouj2ycXY584UDNHkai6hF5on9jq4fyLKP,ipfs://QmQgc7gkczbbdMYdDfMeKW4bLoLMghBKwh6VNj8RAcK79E,ipfs://QmWN4DGEL1V2ayj3cBzx6MRscPeVjeRbQCfXBz3p9GmStd
913679,Plottable Field (8 frames) #241,371,48.276843951044434,None,6,None,None,None,None,GoldSpiral,Amber,1,Medium,Partially Normal,Low,QmWdry1bNe24ar3RTokMXMUydJDQtgp8vhSYnJgXuyRBU5,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=opWWP7CTz6jce19hgAdyW6HhBXwjYigp5C8Y7hvhSEgAuUjoWLc,ipfs://QmeMK7WxngC3GCgNGUTBZLvGY4Nsj6jgBXjkSkiuWG2ZtF,ipfs://QmUBBmMVc4AB5h9X2cmD3JRgciPFf5PwbkPeTJ2RFViZxD
769066,Plottable Field (8 frames) #63,372,47.978175082962395,None,6,None,None,None,None,MillSpiral,Black,1,Medium,Fast,Medium,Qmc67MwmhRnVuvGcWEB85tz2GPF16X4LEJ9GZkfgMr9HGP,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=ooem3AT8NB4ghXfcoTizGTHut4ynwmwAQ5Uzty8FuTXUjBdYH9V,ipfs://QmZELJFxnpgMfvQCMw2kGuDrpKDv45Gd9AWWyw5VyDQRQc,ipfs://QmXZQtxZAVuvZT4Ab2JEjC1D3GQ93yVW1ZAsSvpsePjzB4
767459,Plottable Field (8 frames) #35,373,47.85378585074261,None,6,None,None,None,None,GoldSpiral,Hope Pink,1,High,Fast,Low,QmSBT5kEBwYwW6c9XNniNPMCfQ2ykbKeM7mak2itk1Ej3Q,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=opUNKpD3maJae9RDcWUcdrDVUDY11WUg8XFEKQVLDvrDJSGHEd1,ipfs://QmPcrjiB6XsuvX1w1KACDaLHtVE3vkk48HdGPP7AMWX2J6,ipfs://QmS8Dqy27RLabHUcpVBw53RL4seMHstN8tMjFCdUQHjj2r
770412,Plottable Field (8 frames) #83,374,47.40075584439698,None,6,None,None,None,None,GoldSpiral,Hope Pink,1,High,Intense,Medium,QmTtGwFSSkFFNz68wPgiiPvz9kyYfMsUcWQq15dxJKgoPr,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=oovA9SiEeebu7mPP7v9qGJfQtQMwiM7QZcCt48stLTyVcnfwWSh,ipfs://QmSGF8vMYGxUm7RxWnEgJLwbbE8WbZEUWQqjGMafJub43Y,ipfs://QmWWgwuv61RaUM4w4LLWkDkxPRDsymFCbM2SnF48wtochF
918803,Plottable Field (8 frames) #246,375,46.94453501150252,None,6,None,None,None,None,NestedSquares,WhiteOnBlack,1,High,Normal,Medium,QmQWUxJkNkGeJuj5oM8eW5P1Uabi2XoiB2kThvZWLZWQfq,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=onwQTaokrb1ECTG73tg9CX7KzisNx7cHVDYKNnVq327Yv7QLmkV,ipfs://QmZ5zv95WtEzXYpF4XCMLz9qjWgK5jsxg2fXeKWRYi6qcj,ipfs://QmZGw2qXNpLUVibHvGXz1XBDGuTFDoHaeYkbneCebwFm4L
792872,Plottable Field (8 frames) #143,376,46.793019859987375,None,6,None,None,None,None,TriangleSpiral,Black,1,Medium,Normal,Medium,QmSyCQM8B2Adac1qFGBL4S7xyX1tBTDkmk7Uf4DiW1oAAD,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=ooRB2aHsSLn9NfyBkswKugJhWW8xR6Hz94tojcPJCnUc61VCCQW,ipfs://QmY1fCk11rfgC2wJwbF6XGEciAFpzBHVC6jq8GwD9XmHcD,ipfs://QmPxUGmwCdZm5De9zWRAYFC67PduDP239Cu8BmKADSGb7S
965221,Plottable Field (8 frames) #286,377,46.64963912028009,None,6,None,None,None,None,GoldSpiral,Bloody Brexit,1,Medium,Fast,Low,QmeVMB9qzLHEygkQgWCztdoG32tTpUTGzjhGRSBW4CNJBY,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=onzkf4a5eZkcnkFBN851HPoKedCF18Um75PPPNFQTi9EBV3zcDk,ipfs://QmdVzQudyhfH6coqQiWEjzeUQsrhMZBoSNYzfmzqJHzvVL,ipfs://QmXFJSdJrhLu6V1CtgWBFmmAAiN8QKKVpXmPAnavCWRZLZ
768994,Plottable Field (8 frames) #61,378,46.34812426544961,None,6,None,None,None,None,GoldSpiral,Bloody Brexit,1,High,Intense,Medium,QmSV2yuHndxwjiy3eGn9V8bKQB4SQEZaUba6P4r7qYRWhC,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=ookCLceWBWNdb1sbqSHXjtxU17ydWC8nAEmJdJrUky36C9jQA4Q,ipfs://QmW51Jcr9d3og1ooadckPM79ajUAepJnBKbHfZMHMDpiiD,ipfs://QmReeqXLJa2NyjHiCpm7hAkMDgngmuFfUR3m5dzzTjrRsw
765405,Plottable Field (8 frames) #8,379,46.305198936302034,None,6,None,None,None,None,GoldSpiral,Hope Pink,1,High,Fast,Medium,QmdQZhBh4seTfXjbPmZu7AUrfEckBSGAUHkJDFtzFi3A84,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=oocG466kBKnjzKayye8UATeBmktBEAfredgZhsHYwKeCwfGHPuN,ipfs://QmSvv9NPi9eFroztDEbsu5ABEpP6TYK9NgiWsS3vHu5Zzm,ipfs://QmdFY1VoQweK3AuWGvXykipt5yA7CmDJtTuSo4Lz2X4XJ9
913469,Plottable Field (8 frames) #234,380,46.257715160905924,None,7,None,None,None,Group,GoldSpiral,Amber,1,High,Normal,Medium,QmVG4ypN66ziL5ze3CtUbZHZxDjeHddPb2DkTtxD7z8Ldh,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=ons8HrWku2PXq5mQ9J9BYS1QNZfyvSxZz6cib4Zve1e8wpXurm7,ipfs://QmcYztLawDYf9q5yNbw5iQ4iyHn7z8g9jEXB46DYxDYnJu,ipfs://QmYo1aztQuxeKVbtpbnS7Myt4tfGFHr9DnfV9FrkSf3qA3
