ID,Name,Rank,Rarity_Score,Angle Mod-Scores,Attributes-Scores,Center Effect-Scores,Circles Amount-Scores,Color Blink-Scores,Color Changes-Scores,Distribution-Scores,Inks-Scores,Inks Count-Scores,Noise Amp-Scores,Noise Animation-Scores,Noise Frequency-Scores
880001,Plottable Field (8 frames) #188,59,261.53379343312497,25,2,1,1,1,1,4,200,2,2,18,1
868942,Plottable Field (8 frames) #168,60,261.47183061402586,1,2,1,1,1,1,16,200,2,8,6,18
765495,Plottable Field (8 frames) #10,61,256.35953574766825,1,2,1,1,1,100,25,66,2,8,44,1
879587,Plottable Field (8 frames) #175,62,254.8950596053624,1,6,1,17,1,100,14,100,2,2,6,1
880995,Plottable Field (8 frames) #192,63,253.3858804564049,80,6,1,1,1,40,9,100,2,2,6,3
995905,Plottable Field (8 frames) #296,64,253.19565787463617,25,2,1,1,1,1,9,200,2,2,3,3
995743,Plottable Field (8 frames) #294,65,253.09746113350027,1,2,1,12,1,100,11,100,2,2,16,1
998624,Plottable Field (8 frames) #336,66,251.9945914241961,1,26,1,17,36,80,18,50,2,8,6,3
929652,Plottable Field (8 frames) #274,67,250.89914506262753,25,2,1,1,1,1,4,200,2,2,7,1
907725,Plottable Field (8 frames) #226,68,247.13386894135627,1,2,1,1,1,100,16,100,2,2,16,1
1122973,Plottable Field (8 frames) #366,69,246.3312126573691,1,6,1,17,1,100,16,80,2,2,14,3
1131779,Plottable Field (8 frames) #381,70,243.45146356401204,1,6,1,1,36,100,4,80,2,2,6,1
998594,Plottable Field (8 frames) #312,71,243.30230608007545,1,6,1,17,1,80,33,66,2,8,6,18
907823,Plottable Field (8 frames) #227,72,240.32996543434086,1,2,1,1,1,1,20,200,2,2,3,3
764369,Plottable Field (8 frames) #2,73,239.40017038924557,1,6,1,26,1,133,33,23,2,2,6,1
995544,Plottable Field (8 frames) #292,74,238.64215701625292,1,6,1,17,1,133,18,50,2,2,3,1
767533,Plottable Field (8 frames) #46,75,237.97961678180383,30,26,1,1,80,11,25,50,2,2,3,3
770181,Plottable Field (8 frames) #72,76,236.4595642838819,1,6,12,1,1,66,12,80,2,36,14,1
998634,Plottable Field (8 frames) #346,77,235.48553275071797,80,2,1,1,1,1,15,80,2,2,44,3
867327,Plottable Field (8 frames) #164,78,233.59851540600272,1,2,1,1,1,100,16,80,2,8,16,1
767167,Plottable Field (8 frames) #19,79,232.31358170171416,1,2,1,1,1,100,4,100,2,2,14,1
998405,Plottable Field (8 frames) #308,80,228.58314072492487,1,6,12,1,1,66,25,100,2,2,6,3
865234,Plottable Field (8 frames) #161,81,227.2758768647565,1,2,1,1,1,1,4,200,2,2,7,1
767426,Plottable Field (8 frames) #32,82,227.24716638936158,1,6,1,1,36,44,25,100,2,2,3,3
767594,Plottable Field (8 frames) #53,83,223.57142558306126,1,6,1,1,80,80,20,23,2,2,3,1
792835,Plottable Field (8 frames) #136,84,222.12171198485674,80,26,1,12,1,22,11,57,2,2,3,1
879416,Plottable Field (8 frames) #171,85,221.20363811064496,1,6,1,12,1,80,11,80,2,8,14,1
929659,Plottable Field (8 frames) #280,86,220.95319383965884,1,26,12,12,1,36,11,66,2,2,44,3
998640,Plottable Field (8 frames) #352,87,220.94859827332695,1,36,1,1,1,1,15,133,2,8,16,1
879646,Plottable Field (8 frames) #176,88,215.62000645975183,1,2,1,1,1,80,15,100,2,2,6,1
918206,Plottable Field (8 frames) #245,89,212.09333546743136,1,6,1,17,1,80,14,80,2,2,3,1
998623,Plottable Field (8 frames) #335,90,211.14602747218393,1,6,1,17,1,80,14,66,2,2,14,3
944587,Plottable Field (8 frames) #282,91,210.85672873979124,30,6,1,1,1,36,18,100,2,2,7,3
924445,Plottable Field (8 frames) #269,92,208.46765829394695,1,2,1,1,36,1,16,133,2,2,6,3
879708,Plottable Field (8 frames) #183,93,207.41569841968456,1,2,1,1,1,40,12,133,2,2,6,3
907847,Plottable Field (8 frames) #228,94,203.50433015661358,1,2,1,1,1,44,4,133,2,2,7,1
770179,Plottable Field (8 frames) #71,95,203.14639330683806,26,6,1,12,1,1,11,133,1,2,3,1
895781,Plottable Field (8 frames) #212,96,201.0145556990957,30,26,1,1,36,22,4,66,2,2,3,3
1042277,Plottable Field (8 frames) #360,97,199.2911500743291,1,2,1,1,1,1,12,26,1,8,7,133
906623,Plottable Field (8 frames) #225,98,198.5152484726409,1,2,1,1,1,11,33,133,2,2,6,1
913481,Plottable Field (8 frames) #239,99,198.50903702422224,30,2,1,1,1,1,12,133,2,2,6,3
1028511,Plottable Field (8 frames) #359,100,197.63609443802002,1,2,1,1,1,22,25,133,2,2,3,1
1120907,Plottable Field (8 frames) #362,101,196.21570075271222,1,6,1,12,1,66,11,80,2,2,7,3
767534,Plottable Field (8 frames) #47,102,194.8000212406036,1,2,1,1,1,1,4,133,2,36,6,3
994578,Plottable Field (8 frames) #289,103,194.61920403409468,1,2,12,1,1,1,4,20,1,8,6,133
883173,Plottable Field (8 frames) #196,104,194.395791617403,1,6,12,1,1,11,15,133,2,2,3,3
773769,Plottable Field (8 frames) #97,105,193.1723962763606,1,6,12,1,1,44,14,100,2,2,3,3
921650,Plottable Field (8 frames) #263,106,193.09848638729125,1,6,1,12,1,11,11,133,2,2,7,1
777057,Plottable Field (8 frames) #104,107,192.23587359842205,1,6,1,1,57,22,25,57,2,2,14,1
1131791,Plottable Field (8 frames) #388,108,192.1196037718872,1,2,1,1,1,22,15,133,2,2,7,1
890014,Plottable Field (8 frames) #203,109,190.01776065658737,1,2,1,1,80,1,20,66,2,2,7,3
780060,Plottable Field (8 frames) #111,110,188.40652854115422,80,2,1,1,1,1,30,23,2,2,40,1
998625,Plottable Field (8 frames) #337,111,185.0139369020694,1,2,1,1,1,44,12,100,2,2,14,1
998599,Plottable Field (8 frames) #314,112,182.8006351253638,1,2,1,1,1,1,20,133,2,2,14,1
770144,Plottable Field (8 frames) #67,113,181.4523025740617,1,26,12,12,1,40,11,23,2,2,44,3
821267,Plottable Field (8 frames) #153,114,174.27786741599988,1,2,1,1,1,100,4,50,2,2,6,1
996979,Plottable Field (8 frames) #299,115,173.78661069361752,1,6,1,12,1,22,11,66,2,2,44,1
894479,Plottable Field (8 frames) #206,116,172.01898642216085,1,2,1,1,1,1,18,133,1,2,6,1
926544,Plottable Field (8 frames) #272,117,170.56538736731295,1,2,1,1,1,66,20,66,2,2,3,1
770733,Plottable Field (8 frames) #89,118,169.74732635671637,1,6,1,17,1,100,9,23,2,2,3,1
998607,Plottable Field (8 frames) #320,119,169.23867471887024,1,6,1,1,57,11,9,50,2,8,18,1
998643,Plottable Field (8 frames) #355,120,167.88366971566876,66,6,1,12,1,1,11,57,2,2,3,1
998393,Plottable Field (8 frames) #306,121,167.51977335951875,1,2,1,1,1,66,30,50,2,2,6,1
770200,Plottable Field (8 frames) #77,122,166.27620351455553,66,6,1,1,1,44,9,23,2,2,6,1
767421,Plottable Field (8 frames) #31,123,165.92739123573807,1,2,1,1,1,1,4,13,1,2,133,1
998600,Plottable Field (8 frames) #315,124,163.085709478003,1,2,1,26,1,1,33,80,1,8,3,1
1004481,Plottable Field (8 frames) #358,125,161.59902743877282,1,2,1,1,1,36,25,80,2,2,6,1
814333,Plottable Field (8 frames) #150,126,160.13448760512858,1,2,1,1,1,1,4,133,1,2,6,3
998628,Plottable Field (8 frames) #340,127,159.98656247849067,80,2,1,1,1,1,14,44,1,2,7,1
880087,Plottable Field (8 frames) #189,128,159.36213813847974,1,2,1,1,1,1,4,133,2,2,6,1
998639,Plottable Field (8 frames) #351,129,157.79820720138162,1,2,1,1,1,1,57,80,1,2,6,1
905121,Plottable Field (8 frames) #222,130,156.4768941184645,80,2,1,1,1,1,33,26,1,2,3,1
998605,Plottable Field (8 frames) #319,131,152.91304122038446,1,6,1,12,57,1,11,50,2,2,3,3
1131776,Plottable Field (8 frames) #379,132,149.81305997350472,26,6,1,12,1,1,11,80,1,2,3,1
780133,Plottable Field (8 frames) #112,133,147.38471234210476,1,2,1,1,1,11,15,100,2,2,6,1
908994,Plottable Field (8 frames) #230,134,145.8472702354027,1,2,1,1,1,22,9,80,2,8,14,1
921102,Plottable Field (8 frames) #254,135,145.33733965813963,1,6,1,12,1,44,11,57,2,2,3,1
789196,Plottable Field (8 frames) #126,136,144.04256537712797,80,2,1,1,1,1,30,13,1,2,6,1
767366,Plottable Field (8 frames) #28,137,143.20488385805828,1,2,1,1,1,1,30,80,1,2,18,1
1131766,Plottable Field (8 frames) #372,138,142.6750829028602,66,2,1,1,1,1,18,20,1,8,18,1
773467,Plottable Field (8 frames) #94,139,142.18312783630228,1,2,1,1,1,1,16,66,1,2,44,1
1131804,Plottable Field (8 frames) #394,140,142.08825733706067,80,2,1,1,1,1,15,13,1,2,18,3
770416,Plottable Field (8 frames) #85,141,141.95997068444407,1,6,1,12,1,36,11,57,2,2,6,3
881025,Plottable Field (8 frames) #194,142,141.01468452046404,1,2,1,1,1,11,30,66,2,2,18,1
777062,Plottable Field (8 frames) #105,143,140.27151836587245,1,2,1,26,1,1,33,44,1,2,6,18
1131814,Plottable Field (8 frames) #400,144,140.17845028282568,1,2,1,1,1,1,20,100,2,2,3,3
792825,Plottable Field (8 frames) #131,145,138.5180809943478,1,6,1,12,1,11,11,80,2,2,6,1
781605,Plottable Field (8 frames) #118,146,137.61723159573202,1,2,1,26,1,1,33,20,1,2,44,1
996982,Plottable Field (8 frames) #300,147,137.2975933166214,1,36,1,1,1,1,4,66,1,2,16,3
883458,Plottable Field (8 frames) #198,148,134.14914054699582,1,2,1,26,1,1,33,44,1,2,16,1
765553,Plottable Field (8 frames) #13,149,133.55206205604816,1,2,1,1,1,36,9,66,2,2,6,3
921108,Plottable Field (8 frames) #255,150,133.42484975941235,80,2,1,1,1,1,20,13,1,2,6,1
998604,Plottable Field (8 frames) #318,151,133.41009641752046,80,2,1,1,1,1,15,20,1,2,3,3
998618,Plottable Field (8 frames) #330,152,133.31313459856088,1,2,1,1,1,11,30,57,2,2,3,18
1131774,Plottable Field (8 frames) #377,153,132.97484473299195,1,2,1,26,1,1,33,33,1,8,3,18
1131809,Plottable Field (8 frames) #397,154,132.4931209971071,1,2,1,1,1,40,4,66,2,2,6,3
998617,Plottable Field (8 frames) #329,155,132.31067351627254,1,2,1,1,1,44,9,57,2,2,6,3
770190,Plottable Field (8 frames) #75,156,132.23205403397958,1,2,1,1,1,40,25,50,2,2,3,1
998630,Plottable Field (8 frames) #342,157,131.8548995020316,25,2,1,1,1,1,20,57,1,2,16,1
776086,Plottable Field (8 frames) #103,158,129.82030790273978,1,2,1,1,1,22,30,26,1,8,14,18
