ID,Name,Rank,Rarity_Score,Attributes,Composition,High weight brush,Palette,Style
1157257,Flustels #102,76,31.192037470725996,4,Composition #4,False,Palette #8,Style #1
1157238,Flustels #89,77,30.95538523407376,4,Composition #3,False,Palette #2,Style #5
1156677,Flustels #36,78,30.93806921675774,4,Composition #4,False,Palette #11,Style #3
1157141,Flustels #54,78,30.93806921675774,4,Composition #4,False,Palette #19,Style #6
1157205,Flustels #77,78,30.93806921675774,4,Composition #4,False,Palette #11,Style #3
1157161,Flustels #57,81,30.91192542590807,4,Composition #3,False,Palette #9,Style #4
1157261,Flustels #104,82,30.849180327868854,4,Composition #5,False,Palette #8,Style #1
1157265,Flustels #107,83,30.828401107089633,4,Composition #1,False,Palette #2,Style #9
1155282,Flustels #10,84,30.595212073900598,4,Composition #5,False,Palette #11,Style #3
1157248,Flustels #95,84,30.595212073900598,4,Composition #5,False,Palette #11,Style #6
1157272,Flustels #111,86,30.357812871795513,4,Composition #1,False,Palette #2,Style #2
1157269,Flustels #110,87,30.239656518345043,4,Composition #3,False,Palette #8,Style #1
1155747,Flustels #17,88,29.985688264376787,4,Composition #3,False,Palette #18,Style #5
1157188,Flustels #69,88,29.985688264376787,4,Composition #3,False,Palette #19,Style #6
1155351,Flustels #11,90,29.85870413739266,4,Composition #1,False,Palette #18,Style #9
1157203,Flustels #76,91,29.630132708821233,4,Composition #3,False,Palette #8,Style #8
1157289,Flustels #123,92,29.388115902098544,4,Composition #1,False,Palette #18,Style #4
1155251,Flustels #1,93,29.17298985167838,4,Composition #5,False,Palette #12,Style #3
1157274,Flustels #112,94,29.0967993754879,4,Composition #3,False,Palette #8,Style #7
1155255,Flustels #5,95,29.071402550091076,4,Composition #5,False,Palette #19,Style #1
1157031,Flustels #53,96,28.461878740567265,4,Composition #5,False,Palette #19,Style #8
1156695,Flustels #39,97,28.352210630899158,4,Composition #4,False,Palette #2,Style #6
1156663,Flustels #34,98,28.271402550091075,4,Composition #4,False,Palette #11,Style #9
1157295,Flustels #127,99,27.992037470725997,4,Composition #4,False,Palette #12,Style #1
1155849,Flustels #19,100,27.928545407233933,4,Composition #5,False,Palette #11,Style #9
1157277,Flustels #115,100,27.928545407233933,4,Composition #5,False,Palette #19,Style #9
1157279,Flustels #117,102,27.80081431479696,4,Composition #4,False,Palette #11,Style #2
1157221,Flustels #83,103,27.457957171939817,4,Composition #5,False,Palette #19,Style #2
1157239,Flustels #90,104,27.399829678518206,4,Composition #3,False,Palette #2,Style #6
1156661,Flustels #33,105,27.382513661202186,4,Composition #4,False,Palette #18,Style #3
1157226,Flustels #85,106,27.319021597710123,4,Composition #3,False,Palette #19,Style #9
1157182,Flustels #65,107,26.849180327868854,4,Composition #4,False,Palette #12,Style #7
1157263,Flustels #106,108,26.848433362416007,4,Composition #3,False,Palette #11,Style #2
1155259,Flustels #6,109,26.506323185011713,4,Composition #5,False,Palette #12,Style #7
1156957,Flustels #47,110,26.218877297565825,4,Composition #4,False,Palette #2,Style #8
1157163,Flustels #58,110,26.218877297565825,4,Composition #4,False,Palette #2,Style #8
1157184,Flustels #66,110,26.218877297565825,4,Composition #4,False,Palette #2,Style #8
1156658,Flustels #31,113,26.035734949717593,4,Composition #5,False,Palette #12,Style #4
1157181,Flustels #64,113,26.035734949717593,4,Composition #5,False,Palette #12,Style #2
1157275,Flustels #113,113,26.035734949717593,4,Composition #5,False,Palette #12,Style #2
1156664,Flustels #35,116,25.896799375487902,4,Composition #3,False,Palette #12,Style #7
1157290,Flustels #124,116,25.896799375487902,4,Composition #3,False,Palette #12,Style #9
1157186,Flustels #68,118,25.249180327868853,4,Composition #4,False,Palette #18,Style #8
1155436,Flustels #15,119,25.21495572893837,4,Composition #4,False,Palette #2,Style #4
1157223,Flustels #84,120,24.90632318501171,4,Composition #3,False,Palette #18,Style #1
1157256,Flustels #101,121,24.372989851678376,4,Composition #5,False,Palette #18,Style #7
1157292,Flustels #125,121,24.372989851678376,4,Composition #5,False,Palette #18,Style #9
1157021,Flustels #49,123,24.2967993754879,4,Composition #3,False,Palette #18,Style #8
1156626,Flustels #21,124,24.26257477655742,4,Composition #3,False,Palette #2,Style #2
1157288,Flustels #122,124,24.26257477655742,4,Composition #3,False,Palette #2,Style #4
1157215,Flustels #81,126,23.90240161638426,4,Composition #5,False,Palette #18,Style #2
1157260,Flustels #103,126,23.90240161638426,4,Composition #5,False,Palette #18,Style #2
1157237,Flustels #88,128,23.29287780686045,4,Composition #3,False,Palette #18,Style #2
