ID,Name,Rank,Rarity_Score,Attributes,Background,Ears,Eyes,Hat,Head,Mouth
1351959,Blockheads #46,59,69.06515706515705,6,Blue,Frankenstein,Evil,Burglar Hat,Maroon,Old Face
1355201,Blockheads #86,60,69.05923448532144,6,Orange,Lightning Bolt,Cyclops,Sombrero,Green,Alien
1351965,Blockheads #49,61,68.58131240739937,6,Purple,Troll Side Face,Long,Clown Wig,Purple,Robot
1363317,Blockheads #113,62,68.50132873662285,6,Yellow,Second Face,Evil,Fruit Hat,Yellow,Alien
1351579,Blockheads #9,63,68.27350427350427,6,Yellow,Frankenstein,Glasses,Red Cap,Grey,Surprise
1363334,Blockheads #123,64,67.31623931623932,6,Forest,Frankenstein,Glasses,Bristle Hair,Aquamarine,Facemask
1354624,Blockheads #81,65,66.87060572277963,6,Purple,Fried Egg,Long,Eye Hat,Blue,Surprise
1351652,Blockheads #25,66,66.66678249286944,5,Blue,Lightning Bolt,Squinting,None,Blue,Animal
1351595,Blockheads #13,67,66.27226706677507,6,Grey,Lightning Bolt,Cyclops,Eye Hat,Brown,Smiling Wide
1355325,Blockheads #89,68,66.21609501609501,6,Grey,Horn,Cyclops,Hardhat,Maroon,Squigly
1363338,Blockheads #127,69,66.11912531912532,6,Blue,Elf,Pleasant,Hardhat,Red,Animal
1355323,Blockheads #88,70,65.91671151121952,6,Blue,Lightning Bolt,Evil,Halo,Brown,Facemask
1351644,Blockheads #22,71,65.72548835529048,6,Blank,Second Face,Long,Halo,Brown,Squigly
1352128,Blockheads #58,72,65.67393390922803,6,Red,Second Face,Squinting,Burglar Hat,Maroon,Alien
1352125,Blockheads #57,73,65.56874236874236,6,Orange,Hole,Dead,Fruit Hat,Blue,Squigly
1351577,Blockheads #8,74,65.21765018607124,5,Orange,Frankenstein,Glasses,None,Brown,Squigly
1351572,Blockheads #6,75,65.18737301345996,6,Grey,Horn,Long,Burglar Hat,Maroon,Black-Beard
1351670,Blockheads #33,76,65.14161394161394,6,Blue,Frankenstein,Pleasant,Sombrero,Yellow,Squigly
1353387,Blockheads #68,77,64.88276168276167,6,Purple,Troll Side Face,Glasses,Clown Wig,Purple,Old Face
1354524,Blockheads #79,78,64.7179487179487,6,Red,Controller,Glasses,Clown Wig,Orange,Facemask
1363024,Blockheads #103,79,64.52747252747253,6,Green,Hole,Squinting,Fruit Hat,Orange,Flat
1363330,Blockheads #119,80,64.5178203439073,6,Purple,Fried Egg,Cyclops,Burglar Hat,Aquamarine,Old Face
1351639,Blockheads #21,81,63.612439847733974,6,Forest,Second Face,Glasses,Fruit Hat,Blue,Alien
1351629,Blockheads #18,82,63.359218559218554,6,Red,Hole,Evil,Fruit Hat,Yellow,Animal
1351944,Blockheads #40,83,62.970679765187775,6,Yellow,Horn,Long,Bristle Hair,Brown,Squigly
1351664,Blockheads #31,84,62.93388950231056,6,Forest,Elf,Glasses,Hardhat,Brown,Black-Beard
1363323,Blockheads #116,85,62.740042566129524,6,Grey,Lightning Bolt,Squinting,Eye Hat,Red,Squigly
1351663,Blockheads #30,86,62.27508530117226,6,Blank,Fried Egg,Pleasant,Bristle Hair,Orange,Surprise
1351980,Blockheads #55,87,62.18315018315018,6,Grey,Horn,Squinting,Red Cap,Blue,Old Face
1351648,Blockheads #23,88,61.91952974561671,6,Red,Lightning Bolt,Squinting,Red Cap,Red,Alien
1363316,Blockheads #112,89,61.66585310114723,6,Grey,Second Face,Cyclops,Burglar Hat,Maroon,Black-Beard
1351952,Blockheads #44,90,61.31029754559167,6,Red,Second Face,Squinting,Hair,Maroon,Black-Beard
1363071,Blockheads #104,91,61.13353313353313,6,Blue,Troll Side Face,Squinting,Hair,Blue,Surprise
1351749,Blockheads #39,92,61.08593628593629,6,Red,Elf,Squinting,Clown Wig,Red,Facemask
