ID,Name,Rank,Rarity_Score,Attributes,Base Blocks,Height,Palette,Shadow,Sky,Sun,Window
1168104,BRUTALIST MOVEMENT #101,160,54.79178681702242,7,7,Tall,Cloud Noir,Vampire Grey,Black,Gunsmoke,White
1168142,BRUTALIST MOVEMENT #138,160,54.79178681702242,7,7,Tall,Cloud Noir,Vampire Grey,Black,Gunsmoke,White
1168211,BRUTALIST MOVEMENT #206,160,54.79178681702242,7,7,Tall,Cloud Noir,Vampire Grey,Black,Gunsmoke,White
1168184,BRUTALIST MOVEMENT #179,163,54.67306692910978,7,3,Medium,Signature Plus,Black,Blue,White,Deep Lemon
1168082,BRUTALIST MOVEMENT #79,164,54.45505212314486,7,3,Tall,Cloud Noir,Vampire Grey,Black,Gunsmoke,White
1169392,BRUTALIST MOVEMENT #251,164,54.45505212314486,7,3,Tall,Cloud Noir,Vampire Grey,Black,Gunsmoke,White
1168066,BRUTALIST MOVEMENT #63,166,54.24780366443764,7,6,Medium,Signature,Black,Red,White,Blue
1168235,BRUTALIST MOVEMENT #225,167,54.067860563441904,7,5,Medium,Signature,Black,Red,White,Blue
1168164,BRUTALIST MOVEMENT #159,168,53.89714531377929,7,8,Medium,Signature,Black,Red,White,Blue
1168225,BRUTALIST MOVEMENT #219,169,52.974446546815216,7,5,Tall,Signature Plus,Black,Blue,White,Deep Lemon
1168143,BRUTALIST MOVEMENT #139,170,52.657458264591334,7,5,Medium,Cloud Noir,Black,Gunsmoke,White,Vampire Grey
1168306,BRUTALIST MOVEMENT #236,170,52.657458264591334,7,5,Medium,Cloud Noir,Black,Gunsmoke,White,Vampire Grey
1168148,BRUTALIST MOVEMENT #143,172,52.0093656093494,7,6,Tall,Signature Plus,Black,Deep Lemon,Blue,White
1168163,BRUTALIST MOVEMENT #158,173,51.749563527749224,7,4,Medium,Cloud Noir,Black,Gunsmoke,White,Vampire Grey
1168080,BRUTALIST MOVEMENT #77,174,51.65870725869105,7,8,Tall,Signature Plus,Black,Deep Lemon,Blue,White
1168140,BRUTALIST MOVEMENT #136,174,51.65870725869105,7,8,Tall,Signature Plus,Black,Deep Lemon,Blue,White
1168158,BRUTALIST MOVEMENT #153,174,51.65870725869105,7,8,Tall,Signature Plus,Black,Deep Lemon,Blue,White
1168191,BRUTALIST MOVEMENT #186,174,51.65870725869105,7,8,Tall,Signature Plus,Black,Deep Lemon,Blue,White
