ID,Name,Rank,Rarity_Score,Attributes,Base Blocks,Height,Palette,Shadow,Sky,Sun,Window,IPFS_URI,Artifact_URI,Display_URI,Thumbnail URI
1168185,BRUTALIST MOVEMENT #180,71,64.3965810243395,7,8,Tall,Station,Steel Blue,Thunder,White,Flame Pea,QmT5ZrPAszYY1w5FAkMCnakcCRMiqhTcmvdDRRDACPmsfK,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=ooqTqM1o8wnszXo6L5FqEmbU94hwmCrTqGZF4NAe3eJVWJqRek7,ipfs://QmPHTQMzJDVPj2Kfebdg6nsfmpQRKHji8Yrt3eiukZ52RE,ipfs://QmTzGdG6r5q9U2crsfPB2wW6wNKEHKmanBaJQDDXL3SURk
1168200,BRUTALIST MOVEMENT #195,71,64.3965810243395,7,8,Tall,Station,Steel Blue,Thunder,White,Flame Pea,QmaShSfbVCxA1s9kAsCSVbg2AeMtAUjnd33mbPUyuuwUS9,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=oniDfzfSb5Sm76nwPjPCdo37ohfjLwimELsuq1vr8Dx92Jy2fDF,ipfs://QmdGn9vUCW986o6T9NDuRg4uGAxyGLvoXf3Snhofih52o6,ipfs://QmarpD2JxKNN7wE29Nc32oK32pMRAgLGDBZPhmzhMcxpTc
1168134,BRUTALIST MOVEMENT #130,74,63.65940153716001,7,4,Tall,Station,Steel Blue,Thunder,White,Flame Pea,QmSJyonXiUPAwRnB7goHSuj2zApXxubiirhVWSrfhxZFGH,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=ooGU4THkfjuxgpdnMHrG9uhC8RwSvdaUatQMhXp7bs6yhABWXn3,ipfs://QmNputYRXt4bXHerZu5akApzwvT4P3WsBSuVFNKyJn1wPe,ipfs://Qma9TBiLdktHG5YWyGPmeke1iTaBAtkECaQGtvQCMnrbNK
1168168,BRUTALIST MOVEMENT #163,74,63.65940153716001,7,4,Tall,Station,Steel Blue,Thunder,White,Flame Pea,QmZX5pSb771zSGF6gi91gtbtqrqYuRPZZzNYonq694htCB,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=oouzzgzTTKHLDSNRBWAYMCsErQzn7GjChVshbjgUuhRH4AzNfn1,ipfs://QmZw9qr7SR7TXg44DUN2ZCh84mxgCCzLLahSasssDVKHaf,ipfs://QmPLoP4SjU9srD3iiPhD6xDPyL3RKoMrqq1CvMbPwXkVBp
1168178,BRUTALIST MOVEMENT #173,76,63.631113263234646,7,6,Tall,Signature,Blue,Black,White,Red,QmXHbjgNt8N7AvD9AaDRb3d8DaEbPGWARjFNuLEDEsd5GJ,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=oocizxZJ6vurQBfvQjBzwWgnc7oeMdM6PtMRarNST78wRFGx4DU,ipfs://Qmd84PZk9MfBZQ6Hu5d6F5kZ4RznA7FVcB43thbbKdWxMC,ipfs://QmYuJGeF4k6sQP87KwXxzzmEs8ZKsnDhCcQQ1psu6v3jGK
1168099,BRUTALIST MOVEMENT #96,77,63.602150456081624,7,5,Tall,Tosh Two,Black,Blaze Orange,Cerulean,White,QmS6aPDbr7KsSqNACk2NNmHzEofYc3WcfkohR4QT9PAEJy,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=oomnAWXgio6KeCcUVtmrg8pdaNdQUX2ftSYmGvu4cHfoCQ8Y6dE,ipfs://QmeMKsfcgfi3T1ETczQC4AYbjknSSCsURxWfAnaAYhoV41,ipfs://Qmdbn8MHve4CnLXdGq6qNmDtkGuxXYvaCKa7xpKRWeQgo1
1169023,BRUTALIST MOVEMENT #249,78,63.43143520641901,7,8,Tall,Tosh Two,Black,Blaze Orange,Cerulean,White,QmXLrQ1qvPYF6tr1DL3u637SwPWZb5ig5u2isrtqBUqpuq,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=ooPdeUvM7xePhJFaAttQvFGQtvWUsemKT5ZzE59F3GCQbXUMHpA,ipfs://QmRgqFuyhpvCBzJomCbYQvS63QiZGViRe1y7cKmqgakN55,ipfs://QmPeofAePoDxrHt6pQYPtdm3icxnJDiUKRZb9iGn5Nmtg6
1168113,BRUTALIST MOVEMENT #109,79,63.40940153716001,7,7,Tall,Station,Steel Blue,Thunder,White,Flame Pea,QmULPsPCit9utGU9NXrqaYYAjqxm4kgmqGjLd6XLVzhAGA,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=opLrJsRhaGi83YgFnvWYUQDxqrWdgkm5TN3C9kCgedXkhJUsWmi,ipfs://QmQjXpCzQzQ3hUfe5zvj6BrvEC6ViPyMg4sp5JCGoHypRT,ipfs://QmbAaGXPvJD19ccdEG6xwqfRF87U9jpFrSvA4CHFoNYp2v
1168198,BRUTALIST MOVEMENT #193,79,63.40940153716001,7,7,Tall,Station,Steel Blue,Thunder,White,Flame Pea,QmX8bnfbBQG7H9XokLXC4wvjQGh217kqWzapzDJMrehf4Z,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=opQaj5YDcQL4fCcQN2tNvp4e1qyuGkyLcqiS5oV8z67KhXA4N4R,ipfs://QmPtKwqSDjr5CHFSPB8aausgDEDf5q1RXPDLGTsEd2ShiB,ipfs://QmaXv1teHnZ5DdJy2og18MTQk4C7V3VCyeQChy7DBtp3jj
1168035,BRUTALIST MOVEMENT #32,81,63.280454912576296,7,8,Tall,Signature,Blue,Black,White,Red,QmfGH1ns1zug84YufwKWgaWg4bQzvaqwcLkk9tkdFNg1V6,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=ooHJMhVAVHxyVCta8LpQ4oXBkjR4FySMSUiEB22q8JMCSpxEJzh,ipfs://QmVzBYn4MipXVmX7MprZCkmDonYPWVtkaSNwqx98KdLGvo,ipfs://QmZL7JgZr1r2WwJZ1qhfZ2XDV6wj4wAmNegWMqwC64xTc9
1168050,BRUTALIST MOVEMENT #47,81,63.280454912576296,7,8,Tall,Signature,Blue,Black,White,Red,QmTGY5vyHDkGi3r3RuTXUBeWeLRDk22W7E4Kjeo6oQu3T1,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=oo93iE81s2B9MyZsaKFfho72ZGAKaTPm9NVcRzxfxjmxzt2Laxi,ipfs://QmZhAeVgcAuBCYBE6oNPyuiamcFE6uaLtqFZCjK3qchf3p,ipfs://QmRkDoyxWUzo1p1f2kbAUW6XrxavNPzRioVGCG2EuJtMke
1168091,BRUTALIST MOVEMENT #88,83,63.12954368647938,7,4,Medium,Comodo,Black,Moody Blue,White,Blueberry,QmTh5Asczj9cEVDiKTHNHkJZEPFwys1eM6hQmx7reyyySj,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=ooD69ogXdcJ5VtuNepAWTC2dR9L75pLKEMsGpC8jYeBNdnEhDiF,ipfs://QmXbRvMBexF3rdeZ9E25x5XMFo8hN2jcxkF3wV6hC9ZGZC,ipfs://QmTxip1tWhZFCvTAFC5LBNaTFRjqcmz6CJepkGGkhg9jnn
1168065,BRUTALIST MOVEMENT #62,84,63.072666843282455,7,3,Tall,Station,Steel Blue,Thunder,White,Flame Pea,QmfW4NHuW1k4rUG66fcbDuL6c66We67fK5i89LhJxPcHmj,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=ooZHD6NhoAZpQQnvc15mbzi9ZAH5axiFyfTTvb3g5LxZhjck4MC,ipfs://QmYMsvgy7NhMg8jko8EHu8A5aUp3YgYfFh1Sr1uYoHEhpc,ipfs://QmW4rCXj2BtCVqfvMefYf5qb7kXKK8XAMTtSjMLDYGvJ5M
1168067,BRUTALIST MOVEMENT #64,84,63.072666843282455,7,3,Tall,Station,Steel Blue,Thunder,White,Flame Pea,QmVMiYAN94yoKg3fCjA5mWHp28gjCwKRsn7nA2j7Hj4X3Y,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=ooCAaDYbr9SefeNJA4CF3r4v9SLsGkBkpGoTG5QrqTDxkFV87xg,ipfs://QmTk5fUg2c6siKrAM9sGy6JY5KgqXxykvKF4JM1Ugn6Vjn,ipfs://QmSNoLaL8KFniR4TYy8J1w46ZyU1QCxqRAgZDcssAEN1B3
1168224,BRUTALIST MOVEMENT #218,84,63.072666843282455,7,3,Tall,Station,Steel Blue,Thunder,White,Flame Pea,QmeyVX4p6w5253py3A26mdJ9TfQfQvqFNQucawdw7QXkk5,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=ood2zpeXFfF7wARvhttwgSv9Z9xzAtYKzk6DPNnf2S83PuHWzs4,ipfs://QmfJh2n616TjAVzf7yZagM2meiBHrzhKEi1ez89jaQ9fTq,ipfs://QmU4D5RzTvyrPjkpAUtZwgFPX8wHhqNLfuzisWYKg59p8P
1168151,BRUTALIST MOVEMENT #146,87,62.98701239890895,7,8,Medium,Tosh Two,Indigo,Red,Cerulean,White,Qme4JzgKyyScotShg6sx2jyhDW6r2f9VZxdPWNqMdSTHXB,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=onfCt3mFSsZweau5ETZNmqH3Poy1iPkLvXDcsAa21DYSf7xZJ9c,ipfs://QmToFiYGvMH334hRV9rUhSpUrxB1QSgMv7PrTViiziyiC3,ipfs://QmR4Ju9twFistmniXrfDcYgXjKfKFyq5G5X2cwdC2E6HL5
1168063,BRUTALIST MOVEMENT #60,88,62.69425571923952,7,4,Tall,Tosh Two,Black,Blaze Orange,Cerulean,White,QmavJtJChJZqHHmsokbyrvivwP1krGq4AYV6anaWXTuvX8,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=oniEDX1nCWidf6usNeCrQupYDNqRPGzyqJhn3ZV7ycYKMNcu2nu,ipfs://QmS3SSfEerTFWDPdZBd39VJ6PBYUaJ2NnDre6xZ8JajMyM,ipfs://QmS8tWbYrq7R37V6cqDjfZhYofu9vU3KAuZDdjGMyF2kas
1168119,BRUTALIST MOVEMENT #115,89,62.609900440668774,7,5,Tall,Station,Thunder,Steel Blue,Flame Pea,White,QmdTEEFtSXi2AVrt5wTF2wZRZkoZCx73ATBQq9gkm3hfGs,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=onwBmpT86KTpH6v6ydTAWngaAd5wBCGLUC5Fen2myELnz8BMj1a,ipfs://QmcAJKcPqXKAhciUPnwvy4yftX14DF2zwhao92DDe4ATar,ipfs://QmVubctRvu6CkQDKAM8ZoZngUtsseGqKPo1g9fx6435Syb
1168014,BRUTALIST MOVEMENT #11,90,62.54327542539681,7,4,Tall,Signature,Blue,Black,White,Red,Qmc9ArDn1tMnMXH19yDH24eh7VYCHoMwJAWk98fUsvA6tJ,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=ooeZomDGVftwP5fvSvvtc1yPhv1oRpkzm2LRFPXdUEn792kSoWu,ipfs://QmZCwzCqo2gRhuVxeRATdWanuNyF5vTBKpjGU59NR3ugZT,ipfs://QmUavqtmfAe59MKCdsYtM481Wi2Kpe9QnRR9xEcFMMaXrY
