ID,Name,Rank,Rarity_Score,Acid,Attributes,Background color,Bubbles?,Color palette,Color variation,Deposit,Discrete division,Discrete turns,Displacement level (0-9),Division angle,Division chances,How are you?,Inverted,Mutation,Pointillism,Spike level (0-9),Stripe level (0-9),Termination chances,Termination threshold,Tinge palette,Turn,You smell,Your hotness 1-10,can I touch the bubble?,ooOo0ooOO?,ooh?,oooh?,you are,IPFS_URI,Artifact_URI,Display_URI,Thumbnail URI
1747,FXHASH Logo with Features #115,11,141.15929915390922,False,13,None,None,None,normal,high,False,True,None,high,high,None,False,very high,False,None,None,high,high,None,normal,None,None,None,None,None,None,None,QmcqPAZsRrZRRmUBfUCRbAcy5paEsvnJsgoAxXvRVNS4vX,ipfs://QmcMKRGHup4oLELQnwDJXoYoBooA9cjGQcqEK5CZgQWHqd,ipfs://QmV4V5SC4DKJFbLpbuvgMbcnKL9ud6eRL6LDo44kXhXcvn,ipfs://QmbygwkEHY1Kvx5poRpFa8wKEZMw18LhHeyrGAVfjrEm6h
16321,FXHASH Logo with Features #521,12,139.2443370709671,False,13,None,None,None,normal,high,False,True,None,very high,high,None,False,very high,False,None,None,low,very low,None,low,None,None,None,None,None,None,None,QmWmXMFWoJP4deuNYjuZdntAruCNuKZvy8i3NbSofQtv9R,ipfs://QmaAnvxWSo7vakLnit6h59EMTs3VvgMCscn2pZL9dCEUDe,ipfs://QmR2n6m6CEb2pBjPb3tkyc4VZwQvoaR82ay9XMpxoEPDru,ipfs://QmVaH25f543iSr9h9EtTtMeD2Q2ncnr2A8ZK1r5QHQeRBk
299,FXHASH Logo with Features #36,13,137.9976334413986,False,13,None,None,None,normal,high,False,False,None,normal,normal,None,False,low,False,None,None,very low,very low,None,low,None,None,None,None,None,None,None,QmVHKuUkTqELqeveiyU4CMa7cdZpsFbdgxxm3KJ4jn3xKT,ipfs://QmaynuSGpfz3GAvxFuw4xeMpzsmFcQnW1LpBttHXndvBc5,ipfs://QmeL3hBfbJppETe6Qtqsw6MA2BUeQ5EzB62JZqh2V3L2s4,ipfs://QmQ7HCmJy1Snj9us2KZxa89LpPAtzCfTGkG2Dn1zyHSWNc
18983,FXHASH Logo with Features #680,14,137.09972501142167,False,13,None,None,None,normal,very low,True,True,None,low,normal,None,False,normal,False,None,None,very low,high,None,low,None,None,None,None,None,None,None,QmQSzXWHGkexDAoxwSSxmbpqqoqWsdsoAQzrHx13itdFS2,ipfs://Qmc29raAFjAGEXPBn7rFQNVZ7CXRZXFLiohugxm6TX9US7,ipfs://QmbSVEu6eDLXSV5HDA1iAQhDwjuKuGWmJyYoH4eU2BRXRQ,ipfs://QmWKXtovUpNiQBP4e7DWdZSgHg9ktURAWAP4LqGNX2ePyU
20120,FXHASH Logo with Features #910,15,136.7631640429052,False,13,None,None,None,normal,very low,False,False,None,high,low,None,False,very low,False,None,None,high,low,None,low,None,None,None,None,None,None,None,QmNgoTKrtz2AkSTQULHMYEwbjf463C9GhrQtwqUd4QnNsL,ipfs://QmehkYsaq8AyiKtfUtXHnu9bywXtDkjEJtncUN8QQ66aYt,ipfs://QmXYPFUDe9ZPo5HUxRg8ecG9mnemhTz8mbFgu3c2nQmLjA,ipfs://QmP8pZzEqn1besuGAvc5nCCL937X1w3cVGQpN7xoUra3Qp
583,FXHASH Logo with Features #65,16,136.4661696046607,False,13,None,None,None,normal,low,True,True,None,normal,very high,None,False,low,False,None,None,high,very high,None,low,None,None,None,None,None,None,None,QmSg6mm41k8jAz7TxPXrUS8dxGSw6jwzb6TeGoPuJzeCaf,ipfs://QmWBg4phsXp5upSfTsjgiqCGNTK9QrCCGNULssvDiQMj5B,ipfs://QmWCv4BTBDdYLyN1i873LtXNwyhP2xuodferp3KrtZ4FM5,ipfs://QmcGWPrvwAc3iUQmB3budXdD8Crotj2tQuF7A64AMdHWRS
20519,FXHASH Logo with Features #976,17,136.0206545767013,False,13,None,None,None,normal,normal,True,False,None,normal,normal,None,False,normal,False,None,None,normal,normal,None,low,None,None,None,None,None,None,None,QmS9JujHNwujnoQ5stndMVqBBYeYioCKLDuYGzP77rjFKt,ipfs://QmWAtEprjcXPkkrazQawg7NwuhqiJreNymorskwLNVwER8,ipfs://QmSr8nZhsgXzMzCSHnuTnm2rrsXHFEYXnDPMvriGXKX8qo,ipfs://QmULmV88tW93F5N6g5R9wVgG1MqgUsRBjDDWXDKTLb26zc
20138,FXHASH Logo with Features #915,18,135.4901380879436,False,13,None,None,None,normal,very low,False,True,None,very high,low,None,False,low,False,None,None,high,high,None,very low,None,None,None,None,None,None,None,QmYwAyhhVtzYFNKGKmmxTBk3Jf1nSJhuYQ3gBTLFhcJdF6,ipfs://QmYmjyeR43y8fRNezJzQLdLxMnkMQEF4s1Esapo3mbGk6E,ipfs://QmTa8pkqYurZAKahkjhw4eoPu7s6uFTgdQAEQzp6uTmEcL,ipfs://QmZBsU2xpnPHQt66prUd3vQEcotecJroVgWNwL8qxmerhC
17732,FXHASH Logo with Features #572,19,134.73031796576046,False,13,None,None,None,normal,high,True,False,None,normal,low,None,False,very high,False,None,None,normal,very high,None,very low,None,None,None,None,None,None,None,Qmacvuuhtd5xFFJWRUQFGQmTBA1Unr1RUREgjjufUPx2j2,ipfs://QmV2skBJ6obqMSxrd5Rx6sGcMuonnBYDSG7mcybb1AbhSe,ipfs://QmeMsV3HUKNrUmDHTZY5aTWw2c1eC8Wnodh31hrNVus1EC,ipfs://QmcEyVtJmnYJmHqTs8B7VNmKKHx62KqGXUoFyDN7ri2Kot
18794,FXHASH Logo with Features #649,20,134.63173816998147,False,13,None,None,None,normal,normal,False,True,None,very high,low,None,False,normal,False,None,None,low,normal,None,very low,None,None,None,None,None,None,None,QmQ61Y5XdXRf1uzC7dXjJJaSckgUB67rcetnY3zKemzkqH,ipfs://QmciFNyaSFrFdhKVDRhCQQfdU8X6i88RMDBcYJ55k3NtFZ,ipfs://QmYCB4G53b3Ft2vbXwgXkEx6YeMYMBGNojF1ZnN7Gk8jN8,ipfs://QmRPUERZCHHbrXGLhZjEFRU1NxyeRNPHMRcabgSSBPdTZm
19947,FXHASH Logo with Features #873,21,115.89197512893057,False,13,None,None,None,low,normal,False,True,None,low,low,None,False,very high,False,None,None,very low,normal,None,very high,None,None,None,None,None,None,None,QmPGg2fmJ7AG3yvfKhXmEBTqcUDSQHp26FMku5jKzuvHq5,ipfs://QmRtgCPrV8UqAd3y93EJQnDGBEVfBwU2uNvgna8eVoQQqg,ipfs://QmPxvU39HXnKhXAkN5cCgS8W7PHJ9KocBXRz7zs8uSycCU,ipfs://QmWd1QWBAWo28xzYFzxCiEF4q636Ld7krfjSmDXRoiXtyX
20016,FXHASH Logo with Features #890,22,109.8622142007287,True,13,None,None,None,very low,very high,False,True,None,low,very low,None,True,very low,True,None,None,very low,low,None,very low,None,None,None,None,None,None,None,QmTnzetHEGTvBHajDPnQTDpDd6Jz2SM6HrkyNiwEVp4oco,ipfs://QmcTTTccoyLf6osQN29hDuwVpYHCErDhhv2iSiwKp879zS,ipfs://QmeqmL9MgSew96jm1PUb1mczEVgVE8Nm1xvydrhaLbJb7X,ipfs://QmfP7ro3tM6C5CH88ex9fEoZpbZWoDbtjq6LhDzK6jCzw8
2250,FXHASH Logo with Features #140,23,106.59385129968926,False,13,None,None,None,low,low,False,False,None,low,high,None,False,high,True,None,None,normal,low,None,normal,None,None,None,None,None,None,None,QmZgNrPnSryoESvosmt8Dm2ESBniRmpzCHVdoKJ6wCdB4C,ipfs://QmV84JBztHdHpSgdcMAGR2m7riMc3jaXdC3sK7m1NQKZgs,ipfs://QmcwyNcFUM8SiVigrqhZ2WZVK3x5ik7UC7R7kjFAvcoQJy,ipfs://QmTQscbTiDuxQHQWFzvZMYwPVNr9BUHqkvA3J4pSxr2b4N
5968,FXHASH Logo with Features #239,24,104.67879672618062,False,13,None,None,None,very low,very high,True,False,None,very high,very low,None,True,low,False,None,None,very high,low,None,very high,None,None,None,None,None,None,None,QmeWf1mdd6QHBnMqNt1tbxSqSJn7qPfVNnNtdPNqPmhkTZ,ipfs://QmeMr8G6x865mjd5dRf5rLaeH4fNxkALkDHkoqwudFNuod,ipfs://QmUpwKByijQDCKcY5hQoWkzEgFyqSPwSfzMerwLg2YNdWJ,ipfs://QmSsxajryGCr1EXGo7fpmuo1sttz1HhW3FqooFNCwsV5Jw
